logged_in,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,service_domain_u,service_http,service_private,flag_S0,flag_SF,label,label_binary,label_multiclass,attack_category
0.0,0.0039138943,0.0,0.0,0.0,0.0,1.0,0.5882353,0.09803922,0.17,0.03,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.025440313,0.0,0.0,0.0,0.0,0.08,1.0,0.003921569,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.2407045,1.0,1.0,0.0,0.0,0.05,1.0,0.101960786,0.1,0.05,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neptune,1,neptune,DoS
1.0,0.009784736,0.2,0.2,0.0,0.0,1.0,0.11764706,1.0,1.0,0.0,0.03,0.01,0.0,0.01,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
1.0,0.058708414,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.23679061,0.0,0.0,1.0,1.0,0.16,1.0,0.07450981,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,neptune,1,neptune,DoS
0.0,0.32485324,1.0,1.0,0.0,0.0,0.05,1.0,0.03529412,0.04,0.05,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neptune,1,neptune,DoS
0.0,0.22896282,1.0,1.0,0.0,0.0,0.14,1.0,0.05882353,0.06,0.07,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neptune,1,neptune,DoS
0.0,0.52837574,1.0,1.0,0.0,0.0,0.09,1.0,0.09019608,0.09,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
0.0,0.26027396,1.0,1.0,0.0,0.0,0.06,1.0,0.050980393,0.05,0.06,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neptune,1,neptune,DoS
0.0,0.40117416,0.0,0.0,1.0,1.0,0.06,1.0,0.047058824,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,neptune,1,neptune,DoS
0.0,0.3894325,1.0,1.0,0.0,0.0,0.02,1.0,0.050980393,0.05,0.07,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neptune,1,neptune,DoS
1.0,0.0058708414,0.0,0.0,0.0,0.0,1.0,0.03137255,0.85882354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
1.0,0.0039138943,0.0,0.0,0.0,0.0,1.0,0.007843138,0.078431375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,warezclient,1,warezclient,R2L
0.0,0.45596868,1.0,1.0,0.0,0.0,0.0,1.0,0.003921569,0.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
0.0,0.18786693,1.0,1.0,0.0,0.0,0.17,1.0,0.007843138,0.01,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
1.0,0.015655577,0.0,0.11,0.0,0.0,1.0,0.35686275,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.0019569471,0.0,0.0,0.0,0.0,1.0,0.003921569,0.0627451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ipsweep,1,ipsweep,Probe
1.0,0.0058708414,0.0,0.0,0.0,0.0,1.0,0.25882354,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
1.0,0.017612524,0.0,0.0,0.0,0.0,1.0,0.6156863,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.43639922,1.0,1.0,0.0,0.0,0.1,1.0,0.09019608,0.09,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
0.0,0.5479452,1.0,1.0,0.0,0.0,0.06,0.93333334,0.06666667,0.07,0.06,0.99,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neptune,1,neptune,DoS
1.0,0.015655577,0.0,0.0,0.0,0.0,1.0,0.34117648,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.0019569471,0.0,0.0,0.0,0.0,1.0,1.0,0.003921569,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.4853229,1.0,1.0,0.0,0.0,0.01,1.0,0.007843138,0.01,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
1.0,0.0019569471,0.0,0.0,0.0,0.0,1.0,1.0,0.09803922,0.1,0.05,0.53,0.0,0.02,0.16,0.0,0.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.54598826,1.0,1.0,0.0,0.0,0.03,1.0,0.050980393,0.05,0.07,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neptune,1,neptune,DoS
1.0,0.009784736,0.0,0.0,0.0,0.0,1.0,0.16862746,1.0,1.0,0.0,0.0,0.0,0.56,0.57,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
1.0,0.02739726,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
1.0,0.064579256,0.0,0.0,0.03,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.0019569471,0.0,0.0,0.0,0.0,1.0,0.003921569,0.20784314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ipsweep,1,ipsweep,Probe
0.0,0.11154599,1.0,1.0,0.0,0.0,0.28,1.0,0.23137255,0.23,0.04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
1.0,0.017612524,0.0,0.0,0.0,0.0,1.0,0.03529412,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.0039138943,0.0,0.0,1.0,1.0,0.5,1.0,0.003921569,0.0,0.31,0.0,0.0,0.29,1.0,0.0,0.0,1.0,0.0,0.0,portsweep,1,portsweep,Probe
0.0,0.35420743,0.0,0.0,0.0,0.0,1.0,1.0,0.98039216,0.98,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.0039138943,0.0,0.0,0.0,0.0,1.0,0.16078432,0.019607844,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,normal,0,normal,Normal
0.0,0.23874755,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.40117416,1.0,1.0,0.0,0.0,0.08,1.0,0.06666667,0.07,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
1.0,0.043052837,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.44618395,1.0,1.0,0.0,0.0,0.06,1.0,0.050980393,0.05,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
0.0,0.09784736,1.0,1.0,0.0,0.0,0.22,1.0,0.24705882,0.25,0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
0.0,0.51272017,1.0,1.0,0.0,0.0,0.05,1.0,0.03529412,0.04,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
1.0,0.0019569471,0.0,0.0,0.0,0.0,1.0,0.70980394,0.5764706,0.81,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.007827789,0.0,0.0,0.0,0.0,0.5,1.0,0.007843138,0.01,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,normal,0,normal,Normal
1.0,0.021526419,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,normal,0,normal,Normal
0.0,0.21135029,1.0,1.0,0.0,0.0,0.1,1.0,0.043137256,0.04,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neptune,1,neptune,DoS
0.0,0.15655577,0.0,0.0,0.0,0.0,1.0,1.0,0.3137255,0.31,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,teardrop,1,teardrop,DoS
