run_id,model_key,f1_macro,accuracy,n_sv,sv_ratio,kta,margin_mean
1,quantum,0.8513850478306206,0.8523489932885906,241,0.241,0.22854605163666422,1.2967575853320297
1,quantum_z,0.8422374660674259,0.8422818791946308,280,0.28,0.06530683406799535,1.1782042953901455
1,linear_mm,0.8010253160259384,0.802013422818792,369,0.369,0.08101241399895129,1.033038067295473
1,poly_mm,0.7833219722790274,0.785234899328859,349,0.349,0.14847927234399766,1.081163760277989
1,rbf_mm,0.7908061594202899,0.7919463087248322,408,0.408,0.2999602146901936,0.8341761829899984
1,linear_std,0.8010253160259384,0.802013422818792,365,0.365,0.08101241399895129,1.045240435052719
1,poly_std,0.8314555902447853,0.8322147651006712,400,0.4,0.14847927234399766,0.9902922683349243
1,rbf_std,0.8345851033701501,0.8355704697986577,276,0.276,0.2999602146901936,1.4205414840012205
2,quantum,0.8623773640162651,0.8624161073825504,212,0.212,0.17094565789492905,1.2843000873862782
2,quantum_z,0.7582150101419878,0.7583892617449665,253,0.253,0.0626526724350959,1.1699230778789158
2,linear_mm,0.8046564195298372,0.8053691275167785,337,0.337,0.05567916312181815,1.139941270501117
2,poly_mm,0.7873237043330501,0.7885906040268457,316,0.316,0.12199975355691316,1.2304369907178474
2,rbf_mm,0.7946336779076992,0.7953020134228188,382,0.382,0.21746025481249923,0.8948831475385461
2,linear_std,0.7977467082937424,0.7986577181208053,335,0.335,0.05567916312181815,1.1635668512686455
2,poly_std,0.83194225129709,0.8322147651006712,398,0.398,0.12199975355691316,0.9642930815296282
2,rbf_std,0.7850800090151002,0.785234899328859,259,0.259,0.21746025481249923,1.5261998548434073
3,quantum,0.8380434782608696,0.8389261744966443,227,0.227,0.21880772214300456,1.289676928862881
3,quantum_z,0.8110507246376811,0.8120805369127517,272,0.272,0.0846553448128671,1.1883348824658835
3,linear_mm,0.7905880219431474,0.7919463087248322,351,0.351,0.06914213344738447,1.1849512270900258
3,poly_mm,0.7862777910590485,0.7885906040268457,322,0.322,0.12341063790935727,1.1807619361458281
3,rbf_mm,0.7865693530234303,0.7885906040268457,392,0.392,0.28624764948970954,0.9174647363993483
3,linear_std,0.7905880219431474,0.7919463087248322,346,0.346,0.06914213344738447,1.2071834744000154
3,poly_std,0.8314555902447853,0.8322147651006712,389,0.389,0.12341063790935727,0.9809762922840036
3,rbf_std,0.8302574618364091,0.8322147651006712,249,0.249,0.28624764948970954,1.7850337308254787
4,quantum,0.8523223859080056,0.8523489932885906,230,0.23,0.21518452662170584,1.3295206431245679
4,quantum_z,0.8018326702207996,0.802013422818792,255,0.255,0.07506315949361103,1.2343250604791174
4,linear_mm,0.8010253160259384,0.802013422818792,365,0.365,0.07166138876197432,1.144855928729998
4,poly_mm,0.7865693530234303,0.7885906040268457,348,0.348,0.13355455602157495,1.1686500650446427
4,rbf_mm,0.7838327968445391,0.785234899328859,411,0.411,0.2932496452931443,0.8755208063380354
4,linear_std,0.8010253160259384,0.802013422818792,362,0.362,0.07166138876197432,1.1526168348350228
4,poly_std,0.8383363471971067,0.8389261744966443,409,0.409,0.13355455602157495,0.9790083922123367
4,rbf_std,0.8312952898550725,0.8322147651006712,258,0.258,0.2932496452931443,1.512155349663355
5,quantum,0.8020111933155412,0.802013422818792,253,0.253,0.1824198137191498,1.3032801527044862
5,quantum_z,0.7777124773960217,0.7785234899328859,288,0.288,0.07090364806440165,1.3103178445592516
5,linear_mm,0.7917962587333784,0.7919463087248322,381,0.381,0.05663029020985606,1.1397271468017087
5,poly_mm,0.7938511436963449,0.7953020134228188,367,0.367,0.1048360197936076,1.1008536108985094
5,rbf_mm,0.7723764464458758,0.7751677852348994,414,0.414,0.22009430543836989,0.9205654888024648
5,linear_std,0.7851478010093728,0.785234899328859,380,0.38,0.05663029020985606,1.133238049060779
5,poly_std,0.7873237043330501,0.7885906040268457,420,0.42,0.1048360197936076,0.8568811801554853
5,rbf_std,0.7949117165905116,0.7953020134228188,300,0.3,0.22009430543836989,1.760597161831338
