,n_sv,sv_per_class,sv_ratio,margin_mean,margin_std,sv_class_dist
quantum,70,"[34, 36]",0.7,0.8508588730841075,0.2862323131964535,"[34, 36]"
linear_mm,37,"[19, 18]",0.37,1.2740887666458938,0.6316185791344137,"[19, 18]"
linear_std,37,"[19, 18]",0.37,3.0442135025767993,1.6161181471799575,"[19, 18]"
poly_mm,36,"[19, 17]",0.36,1.6110784558286182,1.1223675778756232,"[19, 17]"
poly_std,30,"[15, 15]",0.3,5.634730020200068,4.725692298668905,"[15, 15]"
rbf_mm,34,"[17, 17]",0.34,1.4072741317305062,0.5942190678090354,"[17, 17]"
rbf_std,34,"[18, 16]",0.34,0.5983426308720107,0.18270439622804355,"[18, 16]"
linear,37,"[19, 18]",0.37,1.2740887666458938,0.6316185791344137,"[19, 18]"
poly,36,"[19, 17]",0.36,1.6110784558286182,1.1223675778756232,"[19, 17]"
rbf,34,"[17, 17]",0.34,1.4072741317305062,0.5942190678090354,"[17, 17]"
quantum_z,73,"[37, 36]",0.73,0.8200871961666933,0.36224247652685837,"[37, 36]"
