feature,f_score,f_pvalue,mi_binary,mi_category,rank_f,rank_mi,rank_shift
flag_SF,168332.09391481432,0.0,0.333383725834955,0.3776238678377766,1,5,-4
same_srv_rate,163826.57732340015,0.0,0.3601752687172255,0.4640810197962777,2,3,-1
dst_host_srv_count,137591.70933127718,0.0,0.33327434983548754,0.4155732409195343,3,6,-3
dst_host_same_srv_rate,116945.4823624858,0.0,0.3072959223294127,0.402504090240563,4,7,-3
logged_in,114585.76734278385,0.0,0.28615957018401206,0.31321434879752896,5,8,-3
dst_host_srv_serror_rate,94645.67923317733,0.0,0.2785284767623384,0.3769382077894643,6,11,-5
dst_host_serror_rate,93068.84269461167,0.0,0.2824585957085006,0.39962182446112005,7,10,-3
serror_rate,92481.83684514472,0.0,0.27599475699291487,0.38529057604962125,8,12,-4
flag_S0,92261.76709720757,0.0,0.2603784717321407,0.36314274118626644,9,15,-6
srv_serror_rate,91324.70193514183,0.0,0.2653950732998438,0.3602768968235539,10,13,-3
count,62673.4745454157,0.0,0.2646573122579514,0.41400422364572176,11,14,-3
service_http,58249.61362103974,0.0,0.18821788331352662,0.19170322366536174,12,16,-4
service_private,31936.474965052443,0.0,0.11860513789271154,0.12354244024323391,13,20,-7
dst_host_count,20621.97606693176,0.0,0.14209364416355985,0.21041496735536747,14,18,-4
service_domain_u,9052.397784839917,0.0,0.04642699297697872,0.046796753079058284,15,24,-9
srv_rerror_rate,8651.419914862094,0.0,0.035835085551156,0.05404140472131047,16,27,-11
dst_host_srv_rerror_rate,8645.837111677865,0.0,0.06191530106631671,0.08377264017972186,17,23,-6
rerror_rate,8643.65784411164,0.0,0.041257690408529335,0.07805048784017199,18,25,-7
dst_host_rerror_rate,8582.544919699305,0.0,0.037512357938076946,0.09749489011357237,19,26,-7
dst_host_diff_srv_rate,7895.152294656337,0.0,0.28502289152397986,0.4509417138736409,20,9,11
protocol_type_udp,6236.084599276235,0.0,0.02671828753841865,0.038225294262017595,21,29,-8
service_smtp,5946.218251059293,0.0,0.029969754061300424,0.028429447135619235,22,28,-6
diff_srv_rate,5452.502734303804,0.0,0.36005823001033255,0.5074355039136784,23,4,19
protocol_type_icmp,5273.685660999147,0.0,0.021834202911055645,0.04630037467856196,24,31,-7
flag_REJ,4461.5993824973875,0.0,0.017746415717589503,0.0234826103234127,25,32,-7
service_eco_i,3573.2961931222203,0.0,0.015314187309865446,0.07304054568354124,26,33,-7
service_ecr_i,2899.368668605852,0.0,0.013198282323581001,0.01646603443838668,27,34,-7
flag_RSTR,2271.87941757253,0.0,0.012363760159256998,0.037119187907534545,28,35,-7
srv_diff_host_rate,1820.9673056717243,0.0,0.09914481585862367,0.14725192730050551,29,21,8
wrong_fragment,1169.4190159256623,4.026317132510011e-255,0.00792505902086349,0.00959047978437022,30,37,-7
dst_host_same_src_port_rate,1086.4841850245023,2.950927865609484e-237,0.1300702844863122,0.23314156801809371,31,19,12
service_ftp_data,1083.5880079762112,1.241819219492967e-236,0.0055233381029817785,0.01839626355177515,32,40,-8
service_Z39_50,1004.8598735661784,1.1623111578146765e-219,0.0032931788327568157,0.0042881195854351795,33,62,-29
flag_RSTO,996.5123051014973,7.336376069081849e-218,0.005775431400478759,0.006628237044539631,34,39,-5
service_uucp,907.98103930411,9.238053054115588e-199,0.004866503040326098,0.005712358796219341,35,47,-12
service_courier,853.7545872248348,4.700961219392624e-187,0.0037694340348179978,0.005739770832107638,36,55,-19
service_bgp,825.4967060186126,5.955564413304523e-181,0.005191706094429094,0.005850787961680481,37,44,-7
service_whois,805.4949064249294,1.2462381864782044e-176,0.003576342980113889,0.005174053167781967,38,58,-20
service_uucp_path,800.7902869151703,1.2941510267815003e-175,0.0049166817049348666,0.006835188330506892,39,46,-7
service_iso_tsap,798.438240523047,4.170008436353983e-175,0.0034461924770425867,0.00424529403250018,40,59,-19
service_imap4,738.376250271182,3.9828464716386277e-162,0.0050748193684282406,0.004940845165682273,41,45,-4
service_nnsp,731.4727387844121,1.2376546249595792e-160,0.004368746376630206,0.0047579308677163645,42,51,-9
