feature,f_score,f_pvalue,rank
state_INT,59703.3178608971,0.0,1
dload,32161.33812816319,0.0,2
state_CON,27258.67408502619,0.0,3
ct_dst_sport_ltm,25646.59295314119,0.0,4
dmean,23208.24827831813,0.0,5
rate,22614.001448943673,0.0,6
proto_tcp,21975.51050063462,0.0,7
swin,21961.792750584525,0.0,8
dwin,19950.896058407863,0.0,9
ct_src_dport_ltm,18054.435036764185,0.0,10
state_FIN,17765.077179091935,0.0,11
stcpb,12194.817764138295,0.0,12
dtcpb,11722.907952254009,0.0,13
service_dns,8072.297523655699,0.0,14
proto_arp,6420.504242952887,0.0,15
proto_unas,6309.111200747321,0.0,16
is_sm_ips_ports,6191.3689061418945,0.0,17
sload,6062.570333299142,0.0,18
sinpkt,5612.333414358407,0.0,19
proto_udp,4617.585916788957,0.0,20
service_-,4483.9813587006,0.0,21
service_ssh,2769.5006620424683,0.0,22
dpkts,2501.672576150485,0.0,23
service_ftp-data,1940.0635046276632,0.0,24
ackdat,1678.0108960504515,0.0,25
dloss,1586.7584734869536,0.0,26
tcprtt,1174.8655484154835,1.259307950248273e-256,27
proto_ospf,1058.804646122308,1.4632838916791787e-231,28
dbytes,1042.1546337697648,5.790494893644675e-228,29
djit,652.054009862392,1.4649982400019034e-143,30
synack,597.9101424115349,7.942679934359568e-132,31
proto_sctp,544.8745766875726,2.5068021252921653e-120,32
service_pop3,511.5232448581587,4.296765402209751e-113,33
spkts,477.9163672551013,8.412133237618689e-106,34
dur,229.71400047306338,7.424121233232025e-52,35
state_REQ,195.57367930057734,2.0404012550599455e-44,36
proto_any,141.1262455722202,1.553949729652497e-32,37
service_http,109.94537914874016,1.0251072908229911e-25,38
state_RST,109.8350356715448,1.083750232927943e-25,39
proto_gre,105.77803989794039,8.382545618887466e-25,40
proto_sun-nd,94.47600114618831,2.5132551724597126e-22,41
proto_mobile,94.47600114618831,2.5132551724597126e-22,42
proto_ipv6,94.47600114618831,2.5132551724597126e-22,43
proto_pim,94.47600114618831,2.5132551724597126e-22,44
proto_swipe,94.47600114618831,2.5132551724597126e-22,45
proto_rsvp,94.00518708835352,3.187718845199993e-22,46
dinpkt,91.89468580762542,9.254522460344657e-22,47
proto_sep,90.70967431089086,1.6838383250312077e-21,48
response_body_len,80.05042504800315,3.684081508528542e-19,49
sbytes,60.59089500384517,7.0638986510828415e-15,50
proto_ib,47.43320945222745,5.710080408868982e-12,51
proto_encap,46.963172751027805,7.257059530606788e-12,52
proto_ddx,46.963172751027805,7.257059530606788e-12,53
proto_eigrp,46.963172751027805,7.257059530606788e-12,54
proto_aes-sp3-d,46.963172751027805,7.257059530606788e-12,55
proto_aris,46.963172751027805,7.257059530606788e-12,56
proto_3pc,46.963172751027805,7.257059530606788e-12,57
proto_ddp,46.963172751027805,7.257059530606788e-12,58
proto_wb-mon,46.963172751027805,7.257059530606788e-12,59
proto_wsn,46.963172751027805,7.257059530606788e-12,60
proto_zero,46.963172751027805,7.257059530606788e-12,61
proto_xtp,46.963172751027805,7.257059530606788e-12,62
proto_ttp,46.963172751027805,7.257059530606788e-12,63
proto_tp++,46.963172751027805,7.257059530606788e-12,64
proto_tlsp,46.963172751027805,7.257059530606788e-12,65
proto_vines,46.963172751027805,7.257059530606788e-12,66
proto_srp,46.963172751027805,7.257059530606788e-12,67
proto_tcf,46.963172751027805,7.257059530606788e-12,68
proto_stp,46.963172751027805,7.257059530606788e-12,69
proto_wb-expak,46.963172751027805,7.257059530606788e-12,70
proto_visa,46.963172751027805,7.257059530606788e-12,71
proto_vmtp,46.963172751027805,7.257059530606788e-12,72
proto_vrrp,46.963172751027805,7.257059530606788e-12,73
proto_dgp,46.963172751027805,7.257059530606788e-12,74
proto_cftp,46.963172751027805,7.257059530606788e-12,75
proto_compaq-peer,46.963172751027805,7.257059530606788e-12,76
proto_cpnx,46.963172751027805,7.257059530606788e-12,77
proto_cphb,46.963172751027805,7.257059530606788e-12,78
proto_crudp,46.963172751027805,7.257059530606788e-12,79
proto_ax.25,46.963172751027805,7.257059530606788e-12,80
proto_bna,46.963172751027805,7.257059530606788e-12,81
proto_br-sat-mon,46.963172751027805,7.257059530606788e-12,82
proto_a/n,46.963172751027805,7.257059530606788e-12,83
proto_idrp,46.963172751027805,7.257059530606788e-12,84
proto_ifmp,46.963172751027805,7.257059530606788e-12,85
proto_idpr-cmtp,46.963172751027805,7.257059530606788e-12,86
proto_i-nlsp,46.963172751027805,7.257059530606788e-12,87
proto_gmtp,46.963172751027805,7.257059530606788e-12,88
proto_idpr,46.963172751027805,7.257059530606788e-12,89
proto_fire,46.963172751027805,7.257059530606788e-12,90
proto_qnx,46.963172751027805,7.257059530606788e-12,91
proto_ptp,46.963172751027805,7.257059530606788e-12,92
proto_pvp,46.963172751027805,7.257059530606788e-12,93
proto_nsfnet-igp,46.963172751027805,7.257059530606788e-12,94
proto_pipe,46.963172751027805,7.257059530606788e-12,95
proto_pnni,46.963172751027805,7.257059530606788e-12,96
proto_pri-enc,46.963172751027805,7.257059530606788e-12,97
proto_l2tp,46.963172751027805,7.257059530606788e-12,98
proto_micp,46.963172751027805,7.257059530606788e-12,99
proto_mtp,46.963172751027805,7.257059530606788e-12,100
proto_narp,46.963172751027805,7.257059530606788e-12,101
proto_mfe-nsp,46.963172751027805,7.257059530606788e-12,102
proto_pgm,46.963172751027805,7.257059530606788e-12,103
proto_mhrp,46.963172751027805,7.257059530606788e-12,104
proto_iatp,46.963172751027805,7.257059530606788e-12,105
proto_etherip,46.963172751027805,7.257059530606788e-12,106
proto_ipv6-opts,46.963172751027805,7.257059530606788e-12,107
