K,f1_mean,f1_std,time_s
5,0.7913948766521306,0.02277913182073856,5.415059328079224
10,0.7982257898274601,0.021658246343715642,4.034837245941162
15,0.8255653109301317,0.013442969712403767,4.325515985488892
20,0.8272184465045594,0.014845940729253578,4.091567754745483
25,0.8472149669507416,0.024194818232466234,0.41703128814697266
30,0.8726503454857986,0.020454483274328108,0.35396456718444824
35,0.8813489719865617,0.017059029007954318,0.5466179847717285
40,0.879173096375621,0.012074757130372227,0.7057771682739258
45,0.8789031867367292,0.014800249028344715,0.9007670879364014
50,0.8846332487754272,0.017145819197162054,1.1057181358337402
70,0.8879480261472115,0.018405561701147474,1.3544971942901611
100,0.889620561472741,0.016433945722714605,2.662642002105713
150,0.8881678483540861,0.015887409348156533,6.1803295612335205
