shots,seed,f1_macro,accuracy,n_sv,fro_sim,fro_dist,entry_mae,entry_rmse,kta,elapsed_s,min_eigenval,from_cache
128,42,0.8574074074074074,0.8585858585858586,45,0.9989029059268028,0.00013244475326488776,0.010891978106589418,0.013112030573223885,0.2199790019582931,65.92719721794128,-2.4201936414479508e-15,False
128,123,0.8469229976291104,0.8484848484848485,47,0.9980896120479347,0.0001739672850819726,0.013275667176059287,0.017222761223115286,0.22562331453015547,66.39407634735107,-2.6541763400252743e-15,False
128,456,0.8772727272727272,0.8787878787878788,44,0.9952997100994424,0.00026778847145914893,0.02199911091001614,0.026511058674455745,0.23512047298234945,65.4156711101532,-2.499692687610873e-15,False
512,42,0.8574074074074074,0.8585858585858586,47,0.9991307276246746,0.00011865738819130401,0.009837273414417855,0.011747081430939098,0.21270919342546835,75.53604459762573,-2.1451419272811696e-15,False
512,123,0.8474889596384924,0.8484848484848485,47,0.9996325036282817,7.808283505873802e-05,0.006008700697729878,0.0077302006708150645,0.22159122883502216,76.23061347007751,-1.832085526496034e-15,False
512,456,0.8574074074074074,0.8585858585858586,47,0.9989379884507733,0.00013172918083442632,0.009809765756600069,0.013041188902608204,0.22476465157502756,76.83597683906555,-1.9355574131831613e-15,False
2048,42,0.8574074074074074,0.8585858585858586,47,0.9998824473133088,4.251602027919282e-05,0.0034916900710742858,0.00420908600764009,0.21584690236152973,117.10822105407715,-1.5137508649307422e-15,False
2048,123,0.8474889596384924,0.8484848484848485,47,0.9998093850085474,5.378954501074788e-05,0.004144448393035755,0.005325164956064039,0.22014286708343397,124.5733208656311,-2.565365617393063e-15,False
2048,456,0.8474889596384924,0.8484848484848485,48,0.9991893141250167,0.00012635657888127426,0.010507252069648755,0.01250930130924615,0.22397973653602157,118.19939827919006,-1.5630321953173308e-15,False
8192,42,0.8574074074074074,0.8585858585858586,47,0.999975314320115,2.0647796936710702e-05,0.0015069727792725513,0.0020441318967343593,0.21570483257896322,303.8963830471039,-2.154600690631219e-15,False
8192,123,0.8574074074074074,0.8585858585858586,47,0.9999700293413096,2.534433273296332e-05,0.0015324129120655226,0.002509088940563368,0.2157906628752108,300.64950942993164,-1.7592355233633343e-15,False
8192,456,0.8574074074074074,0.8585858585858586,49,0.9999351533335924,3.381345294994141e-05,0.0025311303692207585,0.0033475318420442,0.21796952697738645,292.20132780075073,-1.7813832438380895e-15,False
