run_id,model_name,model_key,f1_macro,accuracy,n_support_vectors,sv_ratio,train_size,test_size,C,scaler,kta,mean_intra_similarity,mean_inter_similarity,separation_gap
1,QSVM-ZZ,quantum,0.8513850478306206,0.8523489932885906,241,0.24148296593186372,998,298,3.0,"MinMax [0,pi]",0.22854605163666414,0.19950667735838967,0.08846643257879534,0.11104024477959433
1,QSVM-Z,quantum_z,0.8422374660674259,0.8422818791946308,280,0.280561122244489,998,298,3.0,"MinMax [0,pi]",0.06530683406799534,0.41146258855734974,0.3555338244734849,0.055928764083864824
1,SVM-Linear (mm),linear_mm,0.8010253160259384,0.802013422818792,369,0.3697394789579158,998,298,0.1,"MinMax [0,pi]",0.08101241399895129,9.679718017578125,8.13407039642334,1.5456476211547852
1,SVM-Poly (mm),poly_mm,0.7833219722790274,0.785234899328859,349,0.3496993987975952,998,298,0.1,"MinMax [0,pi]",0.14847925311990204,12.225268363952637,8.31734848022461,3.9079198837280273
1,SVM-Rbf (mm),rbf_mm,0.7908061594202899,0.7919463087248322,408,0.4088176352705411,998,298,0.1,"MinMax [0,pi]",0.2999602146901936,0.5039177536964417,0.2102578580379486,0.29365989565849304
1,SVM-Linear (std),linear_std,0.8010253160259384,0.802013422818792,365,0.3657314629258517,998,298,0.1,StandardScaler,0.08101241399895129,9.679718017578125,8.13407039642334,1.5456476211547852
1,SVM-Poly (std),poly_std,0.8314555902447853,0.8322147651006712,400,0.40080160320641284,998,298,0.1,StandardScaler,0.14847925311990204,12.225268363952637,8.31734848022461,3.9079198837280273
1,SVM-Rbf (std),rbf_std,0.8345851033701501,0.8355704697986577,276,0.27655310621242485,998,298,10.0,StandardScaler,0.2999602146901936,0.5039177536964417,0.2102578580379486,0.29365989565849304
2,QSVM-ZZ,quantum,0.8623773640162651,0.8624161073825504,212,0.2124248496993988,998,298,3.0,"MinMax [0,pi]",0.17094565789492897,0.1626716281972208,0.09517233720289595,0.06749929099432486
2,QSVM-Z,quantum_z,0.7582150101419878,0.7583892617449665,253,0.2535070140280561,998,298,3.0,"MinMax [0,pi]",0.06265267243509588,0.3481898607003911,0.3036953077662755,0.04449455293411558
2,SVM-Linear (mm),linear_mm,0.8046564195298372,0.8053691275167785,337,0.3376753507014028,998,298,0.1,"MinMax [0,pi]",0.05567916312181815,9.440425872802734,8.392057418823242,1.0483684539794922
2,SVM-Poly (mm),poly_mm,0.7873237043330501,0.7885906040268457,316,0.3166332665330661,998,298,0.1,"MinMax [0,pi]",0.12199974660478115,12.950904846191406,9.464557647705078,3.486347198486328
2,SVM-Rbf (mm),rbf_mm,0.7946336779076992,0.7953020134228188,382,0.38276553106212424,998,298,0.1,"MinMax [0,pi]",0.2174602548124992,0.4371741712093353,0.2394101619720459,0.19776400923728943
2,SVM-Linear (std),linear_std,0.7977467082937424,0.7986577181208053,335,0.33567134268537074,998,298,0.1,StandardScaler,0.05567916312181815,9.440425872802734,8.392057418823242,1.0483684539794922
2,SVM-Poly (std),poly_std,0.83194225129709,0.8322147651006712,398,0.39879759519038077,998,298,0.1,StandardScaler,0.12199974660478115,12.950904846191406,9.464557647705078,3.486347198486328
2,SVM-Rbf (std),rbf_std,0.7850800090151002,0.785234899328859,259,0.2595190380761523,998,298,10.0,StandardScaler,0.2174602548124992,0.4371741712093353,0.2394101619720459,0.19776400923728943
3,QSVM-ZZ,quantum,0.8380434782608696,0.8389261744966443,227,0.22745490981963928,998,298,3.0,"MinMax [0,pi]",0.21880772214300448,0.18337924667040126,0.08626862707622815,0.09711061959417311
3,QSVM-Z,quantum_z,0.8110507246376811,0.8120805369127517,272,0.2725450901803607,998,298,3.0,"MinMax [0,pi]",0.08465534481286709,0.34228821841759693,0.27853703193829576,0.06375118647930117
3,SVM-Linear (mm),linear_mm,0.7905880219431474,0.7919463087248322,351,0.3517034068136273,998,298,0.1,"MinMax [0,pi]",0.06914213344738447,9.735267639160156,8.404690742492676,1.3305768966674805
3,SVM-Poly (mm),poly_mm,0.7862777910590485,0.7885906040268457,322,0.3226452905811623,998,298,0.1,"MinMax [0,pi]",0.12341064772986397,13.685859680175781,9.998668670654297,3.6871910095214844
3,SVM-Rbf (mm),rbf_mm,0.7865693530234303,0.7885906040268457,392,0.3927855711422846,998,298,0.1,"MinMax [0,pi]",0.2862476494897095,0.4442143142223358,0.19097356498241425,0.25324076414108276
3,SVM-Linear (std),linear_std,0.7905880219431474,0.7919463087248322,346,0.3466933867735471,998,298,0.1,StandardScaler,0.06914213344738447,9.735267639160156,8.404690742492676,1.3305768966674805
3,SVM-Poly (std),poly_std,0.8314555902447853,0.8322147651006712,389,0.3897795591182365,998,298,0.1,StandardScaler,0.12341064772986397,13.685859680175781,9.998668670654297,3.6871910095214844
3,SVM-Rbf (std),rbf_std,0.8302574618364091,0.8322147651006712,249,0.24949899799599198,998,298,10.0,StandardScaler,0.2862476494897095,0.4442143142223358,0.19097356498241425,0.25324076414108276
4,QSVM-ZZ,quantum,0.8523223859080056,0.8523489932885906,230,0.23046092184368738,998,298,3.0,"MinMax [0,pi]",0.21518452662170576,0.18472115877076592,0.08900198986811497,0.09571916890265095
4,QSVM-Z,quantum_z,0.8018326702207996,0.802013422818792,255,0.25551102204408815,998,298,3.0,"MinMax [0,pi]",0.07506315949361102,0.3684544741003295,0.3091819691132472,0.05927250498708231
4,SVM-Linear (mm),linear_mm,0.8010253160259384,0.802013422818792,365,0.3657314629258517,998,298,0.1,"MinMax [0,pi]",0.07166138876197432,10.049920082092285,8.636894226074219,1.4130258560180664
4,SVM-Poly (mm),poly_mm,0.7865693530234303,0.7885906040268457,348,0.3486973947895792,998,298,0.1,"MinMax [0,pi]",0.1335545582048286,12.77521800994873,9.161563873291016,3.613654136657715
4,SVM-Rbf (mm),rbf_mm,0.7838327968445391,0.785234899328859,411,0.4118236472945892,998,298,0.1,"MinMax [0,pi]",0.29324964529314423,0.4774341583251953,0.20399579405784607,0.27343836426734924
4,SVM-Linear (std),linear_std,0.8010253160259384,0.802013422818792,362,0.3627254509018036,998,298,0.1,StandardScaler,0.07166138876197432,10.049920082092285,8.636894226074219,1.4130258560180664
4,SVM-Poly (std),poly_std,0.8383363471971067,0.8389261744966443,409,0.40981963927855714,998,298,0.1,StandardScaler,0.1335545582048286,12.77521800994873,9.161563873291016,3.613654136657715
4,SVM-Rbf (std),rbf_std,0.8312952898550725,0.8322147651006712,258,0.25851703406813625,998,298,10.0,StandardScaler,0.29324964529314423,0.4774341583251953,0.20399579405784607,0.27343836426734924
5,QSVM-ZZ,quantum,0.8020111933155412,0.802013422818792,253,0.2535070140280561,998,298,3.0,"MinMax [0,pi]",0.18241981371914975,0.17274568781421967,0.09429118850863943,0.07845449930558024
5,QSVM-Z,quantum_z,0.7777124773960217,0.7785234899328859,288,0.28857715430861725,998,298,3.0,"MinMax [0,pi]",0.07090364806440164,0.371537722417409,0.31633096750782136,0.05520675490958765
5,SVM-Linear (mm),linear_mm,0.7917962587333784,0.7919463087248322,381,0.3817635270541082,998,298,0.1,"MinMax [0,pi]",0.05663029020985606,9.588872909545898,8.51373291015625,1.0751399993896484
