model_name,distribution_name,f1_macro_mean,f1_macro_std
QSVM (ZZ),"(a) Balanced
50-50",0.8400488419278662,0.015191327867431211
QSVM (ZZ),"(b) Attack-heavy
70%",0.7838877998022294,0.028665195736944087
QSVM (ZZ),"(c) DoS-only
binary",0.8210452076094013,0.02441656030688697
SVM-Linear (mm),"(a) Balanced
50-50",0.8169354109047371,0.01559321531454689
SVM-Linear (mm),"(b) Attack-heavy
70%",0.7360087748752626,0.010450457203281764
SVM-Linear (mm),"(c) DoS-only
binary",0.7564194484874394,0.013946627094936319
SVM-Linear (std),"(a) Balanced
50-50",0.8208024390290737,0.013140049565664117
SVM-Linear (std),"(b) Attack-heavy
70%",0.7367588336254098,0.008121342974801677
SVM-Linear (std),"(c) DoS-only
binary",0.7545825265283487,0.011969374442921671
SVM-Poly2 (mm),"(a) Balanced
50-50",0.8145387322324407,0.010432566115297049
SVM-Poly2 (mm),"(b) Attack-heavy
70%",0.7355850838184266,0.00396499199078609
SVM-Poly2 (mm),"(c) DoS-only
binary",0.752803328148638,0.02918827858469492
SVM-Poly2 (std),"(a) Balanced
50-50",0.8312204077849333,0.02789548250916178
SVM-Poly2 (std),"(b) Attack-heavy
70%",0.7272781423995881,0.025221763944174153
SVM-Poly2 (std),"(c) DoS-only
binary",0.7740916056653508,0.006457785671459938
SVM-RBF (mm),"(a) Balanced
50-50",0.8192279828892188,0.013433214717141482
SVM-RBF (mm),"(b) Attack-heavy
70%",0.7312645450647125,0.022567487974717883
SVM-RBF (mm),"(c) DoS-only
binary",0.7662312907126929,0.01935452610818772
SVM-RBF (std),"(a) Balanced
50-50",0.8192150250825991,0.008807900135513682
SVM-RBF (std),"(b) Attack-heavy
70%",0.7642620921911176,0.02475811255171252
SVM-RBF (std),"(c) DoS-only
binary",0.8038348353168958,0.021045524214787455
