model_name,sigma,f1_macro_mean,f1_macro_std
QSVM (ZZ),0.0,0.8294078388834375,0.025064124733424554
QSVM (ZZ),0.01,0.8349539428575493,0.023604350640482667
QSVM (ZZ),0.05,0.7942165200032669,0.03036317647323611
QSVM (ZZ),0.1,0.773628309482792,0.022711964824633692
QSVM (ZZ),0.2,0.6346262449518868,0.03583036199547847
SVM-Linear (mm),0.0,0.7980563232343201,0.016008673764689233
SVM-Linear (mm),0.01,0.7985837978061083,0.014848004421047542
SVM-Linear (mm),0.05,0.7981325645585445,0.015290348771485917
SVM-Linear (mm),0.1,0.8016800517940605,0.009521230175836514
SVM-Linear (mm),0.2,0.7926025079774659,0.007101839682787915
SVM-Linear (std),0.0,0.7977043209789849,0.00840116028618046
SVM-Linear (std),0.01,0.7977043209789849,0.00840116028618046
SVM-Linear (std),0.05,0.8003063983170804,0.004007890369106354
SVM-Linear (std),0.1,0.8012685587601176,0.004913050588765003
SVM-Linear (std),0.2,0.789730155463575,0.004934360600676128
SVM-Poly2 (mm),0.0,0.8025698097320545,0.006315253532620106
SVM-Poly2 (mm),0.01,0.8030703008905233,0.005569456920934622
SVM-Poly2 (mm),0.05,0.7995463523974498,0.0056900001968101755
SVM-Poly2 (mm),0.1,0.8060849694490335,0.007221804295985939
SVM-Poly2 (mm),0.2,0.797010795477869,0.0034974618494057427
SVM-Poly2 (std),0.0,0.8043038797625865,0.026744744200202362
SVM-Poly2 (std),0.01,0.8033203156966661,0.024443342701309743
SVM-Poly2 (std),0.05,0.8032835618307947,0.026079120310111087
SVM-Poly2 (std),0.1,0.7962033010410539,0.0293602922598702
SVM-Poly2 (std),0.2,0.7518237839365295,0.023280268573581363
SVM-RBF (mm),0.0,0.7975864115225317,0.02054354791039097
SVM-RBF (mm),0.01,0.7980923032398847,0.020861502851232054
SVM-RBF (mm),0.05,0.7980920450332804,0.020783250593037206
SVM-RBF (mm),0.1,0.8020646832708241,0.0248592974572649
SVM-RBF (mm),0.2,0.787936665122775,0.019285254099331333
SVM-RBF (std),0.0,0.8110683322119285,0.02717510910797187
SVM-RBF (std),0.01,0.8121683141398602,0.024427218438439167
SVM-RBF (std),0.05,0.8146033485777524,0.020909823298237176
SVM-RBF (std),0.1,0.7960230894296864,0.02323101403835971
SVM-RBF (std),0.2,0.7643036040990617,0.022518164286038426
