Distribution,Model,ECE ↓,Brier ↓,AUC-PR ↑,F1-macro,Accuracy
Balanced,QSVM (ZZ),0.0991 ± 0.0137,0.1173 ± 0.0092,0.9400 ± 0.0054,0.8399 ± 0.0145,0.8413 ± 0.0135
Balanced,SVM-RBF,0.1115 ± 0.0182,0.1360 ± 0.0068,0.9169 ± 0.0102,0.8202 ± 0.0130,0.8220 ± 0.0124
Balanced,Random Forest,0.1122 ± 0.0171,0.1163 ± 0.0084,0.9429 ± 0.0084,0.8307 ± 0.0158,0.8320 ± 0.0159
Balanced,XGBoost,0.1314 ± 0.0221,0.1296 ± 0.0205,0.9459 ± 0.0103,0.8343 ± 0.0283,0.8353 ± 0.0280
Attack-heavy,QSVM (ZZ),0.1542 ± 0.0296,0.1460 ± 0.0238,0.9613 ± 0.0063,0.7817 ± 0.0251,0.7980 ± 0.0299
Attack-heavy,SVM-RBF,0.1601 ± 0.0382,0.1677 ± 0.0249,0.9474 ± 0.0059,0.7628 ± 0.0270,0.7800 ± 0.0346
Attack-heavy,Random Forest,0.1470 ± 0.0237,0.1346 ± 0.0166,0.9721 ± 0.0046,0.7920 ± 0.0284,0.8067 ± 0.0291
Attack-heavy,XGBoost,0.1542 ± 0.0275,0.1449 ± 0.0271,0.9727 ± 0.0072,0.8011 ± 0.0378,0.8160 ± 0.0382
DoS-only,QSVM (ZZ),0.1206 ± 0.0244,0.1361 ± 0.0129,0.9143 ± 0.0101,0.8230 ± 0.0231,0.8247 ± 0.0212
DoS-only,SVM-RBF,0.1355 ± 0.0280,0.1577 ± 0.0154,0.8971 ± 0.0116,0.8049 ± 0.0174,0.8073 ± 0.0153
DoS-only,Random Forest,0.1147 ± 0.0181,0.1227 ± 0.0100,0.9418 ± 0.0056,0.8314 ± 0.0132,0.8327 ± 0.0134
DoS-only,XGBoost,0.1296 ± 0.0232,0.1309 ± 0.0175,0.9432 ± 0.0116,0.8391 ± 0.0258,0.8400 ± 0.0257
