K,n,V,KTA,Q
20,2,0.7417882680892944,0.32967252895688265,0.02608695652173913
20,3,0.8209565281867981,0.1537214890708461,0.07173913043478261
20,4,0.8661869764328003,0.23641841809058906,0.1391304347826087
20,5,0.9039737582206726,0.24386554246585682,0.22826086956521738
20,6,0.9390765428543091,0.23808813724369446,0.3391304347826087
20,7,0.9523533582687378,0.19487073366034585,0.4717391304347826
20,8,0.9643263816833496,0.19516337321902913,0.6260869565217392
20,9,0.9728733897209167,0.19072314994735015,0.8021739130434783
20,10,0.980951189994812,0.1792524974613326,1.0
40,2,0.6288528442382812,0.3453432767650905,0.02608695652173913
40,3,0.7172130346298218,0.2883975181861245,0.07173913043478261
40,4,0.7717065811157227,0.31348937736845206,0.1391304347826087
40,5,0.8136036396026611,0.2728698374180775,0.22826086956521738
40,6,0.8444486856460571,0.24729024687617018,0.3391304347826087
40,7,0.8687596917152405,0.23035627407845585,0.4717391304347826
40,8,0.8896301984786987,0.2157823643661213,0.6260869565217392
40,9,0.9046204686164856,0.19997157733718401,0.8021739130434783
40,10,0.9179965257644653,0.1876174637096077,1.0
80,2,0.5835140347480774,0.34967249168352127,0.02608695652173913
80,3,0.6943994164466858,0.31276640471673955,0.07173913043478261
80,4,0.7461524605751038,0.26949448291132616,0.1391304347826087
80,5,0.7876815795898438,0.30678529489969975,0.22826086956521738
80,6,0.8163849115371704,0.24803161638239812,0.3391304347826087
80,7,0.839140772819519,0.22907970398029487,0.4717391304347826
80,8,0.8585361242294312,0.21786635145800348,0.6260869565217392
80,9,0.8728336691856384,0.20074967763477342,0.8021739130434783
80,10,0.8853546977043152,0.18909920876278877,1.0
122,2,0.568997859954834,0.34775405681563576,0.02608695652173913
122,3,0.6784162521362305,0.3073995425319958,0.07173913043478261
122,4,0.7291505932807922,0.2876492318346641,0.1391304347826087
122,5,0.7702113389968872,0.30610721974025534,0.22826086956521738
122,6,0.7984333634376526,0.24801831656005488,0.3391304347826087
122,7,0.8211208581924438,0.2284547513211414,0.4717391304347826
122,8,0.8409188389778137,0.2186306275368031,0.6260869565217392
122,9,0.8558974862098694,0.20702313898471397,0.8021739130434783
122,10,0.8696831464767456,0.19320793462241384,1.0
