n,run_id,kernel,f1_macro,kta,offdiag_mean,offdiag_std
4,1,ZZ,0.8731924360400445,0.196701816143863,0.14139899977875728,0.21138430456987628
4,1,Z,0.8197997775305895,0.06427368600128693,0.3490306759099979,0.3308378990710253
4,2,ZZ,0.8598442714126808,0.19371339778130375,0.1421028514356565,0.20984004179193894
4,2,Z,0.8330662393162394,0.06549726702490054,0.34533204452435606,0.3294062815485305
4,3,ZZ,0.8431922063190205,0.1970698479202567,0.14040576843143174,0.20454195455120205
4,3,Z,0.8432898027229786,0.06706645139016826,0.3478440617522021,0.32876031206299955
4,4,ZZ,0.8333036984352773,0.1989197531893043,0.1418929181782161,0.21045916953043936
4,4,Z,0.8633318147979422,0.059088076724302004,0.3612756315300414,0.32938098412955186
4,5,ZZ,0.8432479905726451,0.18455567165141687,0.13719599971842228,0.2026440298054285
4,5,Z,0.822890559732665,0.06419552314942788,0.33870163514051943,0.3263172902475727
4,6,ZZ,0.8199679943100995,0.19040784824641976,0.14006551096215777,0.21037715881874278
4,6,Z,0.8097442116623461,0.062296177468802186,0.3417337408282495,0.3258046449760925
4,7,ZZ,0.8531701890989989,0.1926822543866528,0.14386099244813064,0.2110409283386912
4,7,Z,0.8432898027229786,0.06380504883867234,0.3568109691293876,0.3302847891026667
4,8,ZZ,0.8465575520370041,0.19412751330698677,0.1400535355632047,0.20846525127337576
4,8,Z,0.8332666399893291,0.06179370317413839,0.34847341744272464,0.3284089103634735
4,9,ZZ,0.8166646296069957,0.19765066513181967,0.14676657877632693,0.21077109400848326
4,9,Z,0.8332666399893291,0.062238354673174,0.34028939158748117,0.330231996102244
4,10,ZZ,0.8797380962986059,0.20598858713476662,0.14335599856135034,0.21658577638565435
4,10,Z,0.8533333333333334,0.06096899677390002,0.35829798184523143,0.33279230483927713
5,1,ZZ,0.8333259255966932,0.22100530577475946,0.07985942732957925,0.1863371734750937
5,1,Z,0.8265973055889022,0.08072911118313013,0.2820999284952939,0.2976692984237365
5,2,ZZ,0.8061151720449278,0.22597030539433258,0.07920596792981015,0.18473378547280103
5,2,Z,0.8599751066856329,0.08189929337353022,0.28054643355162284,0.30005541880210285
5,3,ZZ,0.8199679943100995,0.21308621423660432,0.07685986975563458,0.17827433639467172
5,3,Z,0.8366503316998366,0.08163021968361293,0.2815605007041104,0.2970939304649721
5,4,ZZ,0.7765450078376005,0.22603905557377835,0.07942799092173876,0.18352321213133874
5,4,Z,0.8466394025604552,0.07423126297626965,0.2950991839730803,0.30167700951305537
5,5,ZZ,0.8299527646568491,0.2072825545682737,0.07567737743802086,0.17413738832621717
5,5,Z,0.8097442116623461,0.0771786904751361,0.27546694647133146,0.29697086378253135
5,6,ZZ,0.8032262009316183,0.2158942480206951,0.07896876540771475,0.1850295373595474
5,6,Z,0.8131256952169077,0.07741936281617136,0.27636436031544637,0.29496458172030776
5,7,ZZ,0.8664529914529915,0.2222870844125403,0.07947576312188932,0.1848973665580077
5,7,Z,0.8499983333148147,0.07853447271825362,0.2902422114339992,0.30126517087592175
5,8,ZZ,0.8133250366682965,0.2166075530367825,0.07856029515797755,0.18200976641756828
5,8,Z,0.7998576765700054,0.07821149948512773,0.28267913878497225,0.29834386426164455
5,9,ZZ,0.7999199679871949,0.21486538140285968,0.07847874121386722,0.18321965105787366
5,9,Z,0.8599751066856329,0.07871302762229186,0.2757855215240535,0.29838045665295365
5,10,ZZ,0.8433176650998433,0.2274493660803409,0.08296430780799861,0.19050612205462894
5,10,Z,0.8633196652998634,0.07531838950142669,0.29200833416301225,0.3027146156537336
6,1,ZZ,0.8466394025604552,0.213174067020618,0.0578968018692283,0.17426428306022718
6,1,Z,0.8499983333148147,0.16907468391376523,0.22318809060026026,0.2715136393757182
6,2,ZZ,0.8230954950544621,0.2191884589145625,0.05748086233436221,0.17134379029567756
6,2,Z,0.8499583217560434,0.17273649899155083,0.2202378829468354,0.2725721470248744
6,3,ZZ,0.8132586367880486,0.21138791797899759,0.054515090778502535,0.16529610193379185
6,3,Z,0.8333036984352773,0.17247678157902552,0.22268187651988033,0.2704748410527795
6,4,ZZ,0.8166157265907197,0.21845404450567327,0.05710164989706569,0.17051225662151623
6,4,Z,0.8499182888461496,0.16571023810259303,0.23334968990988472,0.27469246888058485
6,5,ZZ,0.8466394025604552,0.20303516082893203,0.05291345776680572,0.16005104117843372
6,5,Z,0.8264738598442714,0.1644196318630178,0.21779509456499127,0.26950144828381745
6,6,ZZ,0.8032786885245902,0.21211049878781035,0.05747644611864128,0.17262951288395068
6,6,Z,0.8399359743897559,0.1620758528073188,0.21850203918693814,0.2682566134767231
6,7,ZZ,0.8431922063190205,0.21454243562934644,0.057397159250541854,0.17163093215904462
6,7,Z,0.866642958748222,0.17291197325943014,0.2276767149363189,0.27378312668071003
6,8,ZZ,0.8133001422475107,0.21254400173517657,0.05623163457141576,0.1692665403553581
6,8,Z,0.8197997775305895,0.17117534017399139,0.22203302083155235,0.27138431235656246
6,9,ZZ,0.8333036984352773,0.2133865561697202,0.05631033204216065,0.17001319889933608
6,9,Z,0.8265973055889022,0.1721247685729128,0.21664884132190268,0.27025483808362893
6,10,ZZ,0.8562049247026563,0.22052000658585427,0.060269291310303126,0.17751061558150283
6,10,Z,0.8599937775012223,0.17042660083117414,0.2292711854655137,0.27514326954800605
7,1,ZZ,0.8466053087901828,0.1832834530334578,0.04065999782227585,0.14910447464726542
7,1,Z,0.8230954950544621,0.17056565695744583,0.20950702327020598,0.263483342003333
7,2,ZZ,0.822890559732665,0.18745603015264659,0.03877463122230312,0.14163366808507766
