shots,seed,f1_macro,accuracy,n_sv,fro_sim,fro_dist,test_fro_sim,test_fro_dist,entry_mae,entry_rmse,test_entry_mae,test_entry_rmse,kta,elapsed_s,min_eigenval,from_cache
128,42,0.779205138498595,0.78,62,0.9986713785587461,0.00013280563723838603,0.9982018905403617,0.00013461116958447686,0.011005404052518727,0.0132805637238386,0.011072505652461753,0.013461116958447688,0.19116762930704465,71.80035710334778,-2.1901282710858634e-15,False
128,123,0.7992773986350863,0.8,56,0.9978650721614645,0.00016946513330021892,0.997077581746834,0.00017479750484582462,0.013151171609556615,0.016946513330021895,0.013488736334072757,0.01747975048458246,0.1914399927455748,86.6504180431366,-1.7104187823420635e-15,False
128,456,0.7889659330720531,0.79,59,0.9946007802778455,0.0002609700351434204,0.9930741241635928,0.00026155205943386654,0.02138951108667566,0.02609700351434204,0.02145635754862281,0.026155205943386654,0.19893175938110533,86.15083599090576,-1.8934635352926117e-15,False
512,42,0.7596153846153846,0.76,61,0.9990522675157658,0.00011183072410160189,0.9987829600271464,0.00011252678293199076,0.009486406985786552,0.011183072410160188,0.009581091392583842,0.011252678293199075,0.18448641957468748,90.47959184646606,-1.691077540625916e-15,False
512,123,0.769792813532179,0.77,61,0.9995762826405792,7.662589272386151e-05,0.9994667923629649,7.635977001088363e-05,0.005837475667591525,0.007662589272386149,0.005805278459253063,0.007635977001088362,0.1897122503799477,80.52915906906128,-2.3526987243387488e-15,False
512,456,0.7889659330720531,0.79,59,0.998798318680218,0.00012656245055475758,0.9984921187488783,0.00012593390518860262,0.00926878926073657,0.012656245055475758,0.009224952176454408,0.012593390518860261,0.19228468590283365,82.12538480758667,-1.2871771701557814e-15,False
2048,42,0.7596153846153846,0.76,62,0.9998575334778759,4.2756783001507695e-05,0.9998258138308397,4.1695931758734865e-05,0.0035644521757165195,0.00427567830015077,0.00349557124999422,0.004169593175873486,0.18646155816007376,118.88743686676025,-1.3086328111041834e-15,False
2048,123,0.769792813532179,0.77,60,0.9997604097173491,5.510287971322361e-05,0.9997063750914541,5.386722040021653e-05,0.004209165624434971,0.005510287971322362,0.004131108718329708,0.005386722040021653,0.18866237292327168,124.96556615829468,-1.513187242617709e-15,False
2048,456,0.7796474358974359,0.78,60,0.9991405605158247,0.0001223983282282258,0.9989645400377093,0.00012015766316545076,0.010130106393812817,0.012239832822822582,0.009977843175079949,0.012015766316545076,0.1921640635998473,124.87977147102356,-1.4503362466286127e-15,False
8192,42,0.7796474358974359,0.78,60,0.9999695777142326,2.184864739636664e-05,0.9999622459050792,2.1632384494536245e-05,0.0016067016858875292,0.0021848647396366643,0.0015731475460595693,0.0021632384494536245,0.18603919474835934,327.00446677207947,-9.530590632823176e-16,False
8192,123,0.7796474358974359,0.78,59,0.9999628222473201,2.708507895554162e-05,0.9999550863484986,2.5713069195946115e-05,0.0015893665314852812,0.002708507895554162,0.0015273278253988682,0.002571306919594611,0.18621836562161947,305.0097622871399,-1.2355941678914512e-15,False
8192,456,0.7796474358974359,0.78,60,0.9999292674305866,3.256477875495303e-05,0.9999157317218402,3.256526069436627e-05,0.002449618664942753,0.003256477875495303,0.0024405565363315534,0.0032565260694366275,0.1880822141703906,322.9677143096924,-1.4119380434752942e-15,False
