model,C,mean_score,std_score,se_score,n_folds,elapsed_sec,complexity,params
QSVM_ZZ_tuning_for_shared_C,0.1,0.8938116700669216,0.014150062651180937,0.0063281003947842935,5,98.08850049972534,0.1,
QSVM_ZZ_tuning_for_shared_C,0.3,0.9129460669062244,0.017461979587858903,0.007809234676033254,5,97.52177143096924,0.3,
QSVM_ZZ_tuning_for_shared_C,0.5,0.9189601906432632,0.01485784468627723,0.006644630143529984,5,97.38223505020142,0.5,
QSVM_ZZ_tuning_for_shared_C,1.0,0.9249588843009569,0.017051992959181396,0.007625883081715479,5,97.4319019317627,1.0,
QSVM_ZZ_tuning_for_shared_C,3.0,0.9409300609585681,0.013438781395539237,0.006010005747037045,5,96.94781255722046,3.0,
QSVM_ZZ_tuning_for_shared_C,5.0,0.9339037063951727,0.010855150393491058,0.004854570837165919,5,96.3294768333435,5.0,
QSVM_ZZ_tuning_for_shared_C,10.0,0.9328918769613506,0.009600880386072588,0.004293644237420546,5,96.37722682952881,10.0,
SVM_Linear,,0.8470121845304984,0.01078388821000439,0.004822701419865669,5,,0.1,{'svc__C': 0.1}
SVM_Linear,,0.8460317914363238,0.010102248110806998,0.004517862700266655,5,,0.3,{'svc__C': 0.3}
SVM_Linear,,0.8460317914363238,0.010102248110806998,0.004517862700266655,5,,0.5,{'svc__C': 0.5}
SVM_Linear,,0.8465609136136394,0.009413673425973402,0.004209922739691972,5,,1.0,{'svc__C': 1.0}
SVM_Linear,,0.8461453710760107,0.01078979031458501,0.004825340921276184,5,,3.0,{'svc__C': 3.0}
SVM_Linear,,0.8466649533598126,0.010387206775732693,0.004645300089376942,5,,5.0,{'svc__C': 5.0}
SVM_Linear,,0.8466649533598126,0.010387206775732693,0.004645300089376942,5,,10.0,{'svc__C': 10.0}
SVM_Poly2,,0.8414757668402062,0.009863279061966584,0.004410992492721528,5,,0.1,{'svc__C': 0.1}
SVM_Poly2,,0.840962345920391,0.009913934557080128,0.004433646318823087,5,,0.3,{'svc__C': 0.3}
SVM_Poly2,,0.8419851898598342,0.010125762320927016,0.00452837857471977,5,,0.5,{'svc__C': 0.5}
SVM_Poly2,,0.8404628325086065,0.010290709481026103,0.00460214518725519,5,,1.0,{'svc__C': 1.0}
SVM_Poly2,,0.8435505626773627,0.01229646255812025,0.0054991452325475676,5,,3.0,{'svc__C': 3.0}
SVM_Poly2,,0.8394603131827758,0.011491720594044342,0.005139253685343482,5,,5.0,{'svc__C': 5.0}
SVM_Poly2,,0.8416354092533448,0.015660650562586958,0.007003655845962953,5,,10.0,{'svc__C': 10.0}
SVM_RBF,,0.8292981637386608,0.005804665467803195,0.002595925314530712,5,,0.1,{'svc__C': 0.1}
SVM_RBF,,0.8345906868211953,0.005009964389927309,0.0022405241881461447,5,,0.3,{'svc__C': 0.3}
SVM_RBF,,0.856967581530688,0.01180187832451615,0.005277960439159886,5,,0.5,{'svc__C': 0.5}
SVM_RBF,,0.868910365176923,0.012562385979536808,0.005618069801966916,5,,1.0,{'svc__C': 1.0}
SVM_RBF,,0.8828802963894307,0.012753587150977921,0.005703577565310901,5,,3.0,{'svc__C': 3.0}
SVM_RBF,,0.8895906605458416,0.008550476898604949,0.003823889517064448,5,,5.0,{'svc__C': 5.0}
SVM_RBF,,0.8888419026645252,0.012752494195861499,0.005703088780923566,5,,10.0,{'svc__C': 10.0}
RandomForest,,0.9364460726502475,0.013303524008587987,0.005949516804700647,5,,,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
RandomForest,,0.9349414127203213,0.011864352597153176,0.005305899783252135,5,,,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}"
RandomForest,,0.9354471364798449,0.014188835023817304,0.006345439926957068,5,,,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200}"
