run_id,seed,kta_seed,kta_sample_size,kta_zz,kta_z,delta_kta
1,100,1001,200,0.20294951563087482,0.06683673292640963,0.1361127827044652
2,101,1002,200,0.20048838800266608,0.08270313758805777,0.11778525041460831
3,102,1003,200,0.22480613779634212,0.07897280296123473,0.1458333348351074
4,103,1004,200,0.2080150787815601,0.06400513495359293,0.14400994382796717
5,104,1005,200,0.20020300766837004,0.05968788187117714,0.14051512579719289
6,105,1006,200,0.23419065616496662,0.0713891455170115,0.16280151064795512
7,106,1007,200,0.2080092161437755,0.0663438807466101,0.1416653353971654
8,107,1008,200,0.19176746956329901,0.07623959697534635,0.11552787258795266
9,108,1009,200,0.1981388898544723,0.07709043469480013,0.12104845515967218
10,109,1010,200,0.20629249341420483,0.05352000284371616,0.15277249057048867
