model,condition,metric,n_runs,mean,std
QSVM_Z,ideal_finite_shot,f1_macro,10,0.83232202313,0.02373010582608237
QSVM_Z,ideal_finite_shot,kta,10,0.06942399784,0.009565159394183695
QSVM_Z,ideal_finite_shot,relative_frobenius_distance,10,0.03694223409,0.023116809601936912
QSVM_Z,ideal_statevector,f1_macro,10,0.8309042241,0.02357264588405506
QSVM_Z,ideal_statevector,kta,10,0.07016429366,0.009331310392507675
QSVM_Z,ideal_statevector,relative_frobenius_distance,10,0.0,0.0
QSVM_Z,realistic_noisy_simulator,f1_macro,10,0.83072881188,0.022953874872476895
QSVM_Z,realistic_noisy_simulator,kta,10,0.06781822066000001,0.009428858184722017
QSVM_Z,realistic_noisy_simulator,relative_frobenius_distance,10,0.16545808011000002,0.0006885995872829228
QSVM_ZZ,ideal_finite_shot,f1_macro,10,0.8362503585600001,0.019653157533006595
QSVM_ZZ,ideal_finite_shot,kta,10,0.19173673877,0.020876513757525302
QSVM_ZZ,ideal_finite_shot,relative_frobenius_distance,10,0.11596692929,0.02797607255990383
QSVM_ZZ,ideal_statevector,f1_macro,10,0.83291663958,0.025915934172089927
QSVM_ZZ,ideal_statevector,kta,10,0.19368194052,0.019933880218779194
QSVM_ZZ,ideal_statevector,relative_frobenius_distance,10,0.0,0.0
QSVM_ZZ,realistic_noisy_simulator,f1_macro,10,0.85013610388,0.01916603672206738
QSVM_ZZ,realistic_noisy_simulator,kta,10,0.14886310658,0.013838969192231928
QSVM_ZZ,realistic_noisy_simulator,relative_frobenius_distance,10,0.6021201780400001,0.004865660400991784
