run_id,condition,baseline,baseline_family,qsvm_effect
1,normal50_dos50,QSVM_Z,entanglement,0.07769054212932724
2,normal50_dos50,QSVM_Z,entanglement,0.061289149648423025
3,normal50_dos50,QSVM_Z,entanglement,0.03999448203879408
4,normal50_dos50,QSVM_Z,entanglement,0.07358431754084716
5,normal50_dos50,QSVM_Z,entanglement,0.08772988210320976
6,normal50_dos50,QSVM_Z,entanglement,0.016373543253211498
7,normal50_dos50,QSVM_Z,entanglement,0.07354861978611016
8,normal50_dos50,QSVM_Z,entanglement,0.03973162492458027
9,normal50_dos50,QSVM_Z,entanglement,0.010258092758616555
10,normal50_dos50,QSVM_Z,entanglement,0.05422904136752438
1,normal50_dos50,SVM_Linear,classical_kernel,0.06728950066979422
2,normal50_dos50,SVM_Linear,classical_kernel,0.0548734737405272
3,normal50_dos50,SVM_Linear,classical_kernel,0.04208587085436366
4,normal50_dos50,SVM_Linear,classical_kernel,0.08439725096166784
5,normal50_dos50,SVM_Linear,classical_kernel,0.08186614873859899
6,normal50_dos50,SVM_Linear,classical_kernel,0.03863320572885709
7,normal50_dos50,SVM_Linear,classical_kernel,0.08395535481658678
8,normal50_dos50,SVM_Linear,classical_kernel,0.04533079885598046
9,normal50_dos50,SVM_Linear,classical_kernel,0.05139667108161594
10,normal50_dos50,SVM_Linear,classical_kernel,0.100214194118866
1,normal50_dos50,SVM_Poly2,classical_kernel,0.052643851032043276
2,normal50_dos50,SVM_Poly2,classical_kernel,0.03468885918700326
3,normal50_dos50,SVM_Poly2,classical_kernel,0.03883455164512439
4,normal50_dos50,SVM_Poly2,classical_kernel,0.05140641087346787
5,normal50_dos50,SVM_Poly2,classical_kernel,0.08263744497679337
6,normal50_dos50,SVM_Poly2,classical_kernel,0.003772367328966131
7,normal50_dos50,SVM_Poly2,classical_kernel,0.06799077281414245
8,normal50_dos50,SVM_Poly2,classical_kernel,0.043703339633402005
9,normal50_dos50,SVM_Poly2,classical_kernel,0.028637926440328143
10,normal50_dos50,SVM_Poly2,classical_kernel,0.08506607450549586
1,normal50_dos50,SVM_RBF,classical_kernel,0.005521977085666041
2,normal50_dos50,SVM_RBF,classical_kernel,0.030784948888168517
3,normal50_dos50,SVM_RBF,classical_kernel,0.046474427877225555
4,normal50_dos50,SVM_RBF,classical_kernel,0.07733819833491506
5,normal50_dos50,SVM_RBF,classical_kernel,0.04488572209284103
6,normal50_dos50,SVM_RBF,classical_kernel,-0.00767016173167967
7,normal50_dos50,SVM_RBF,classical_kernel,0.05086262869720115
8,normal50_dos50,SVM_RBF,classical_kernel,0.032872313391692054
9,normal50_dos50,SVM_RBF,classical_kernel,0.04915421912072315
10,normal50_dos50,SVM_RBF,classical_kernel,0.05066233723510227
1,normal50_dos50,RandomForest,strong_tabular,-0.008344978992992358
2,normal50_dos50,RandomForest,strong_tabular,-8.030571344408433e-05
3,normal50_dos50,RandomForest,strong_tabular,-0.01674553307462512
4,normal50_dos50,RandomForest,strong_tabular,0.0218740732839815
5,normal50_dos50,RandomForest,strong_tabular,0.05652580247623962
6,normal50_dos50,RandomForest,strong_tabular,-0.016956132443711414
7,normal50_dos50,RandomForest,strong_tabular,0.014748234856930553
8,normal50_dos50,RandomForest,strong_tabular,-0.007665755820463027
9,normal50_dos50,RandomForest,strong_tabular,-0.021910160434115533
10,normal50_dos50,RandomForest,strong_tabular,-0.00701172917828774
1,normal50_dos50,XGBoost,strong_tabular,-0.03195059974899661
2,normal50_dos50,XGBoost,strong_tabular,0.0026684883693931516
3,normal50_dos50,XGBoost,strong_tabular,0.0016016909204756846
4,normal50_dos50,XGBoost,strong_tabular,0.01949870267499043
5,normal50_dos50,XGBoost,strong_tabular,0.04518152001529585
6,normal50_dos50,XGBoost,strong_tabular,-0.01107151289088626
7,normal50_dos50,XGBoost,strong_tabular,0.01367074132531787
8,normal50_dos50,XGBoost,strong_tabular,-0.015117432251149476
9,normal50_dos50,XGBoost,strong_tabular,-0.019806990962627613
10,normal50_dos50,XGBoost,strong_tabular,0.0017098719944994567
