comparison,regime,condition,comparison_baseline,baseline,baseline_family,family,is_primary_family,metric,comparison_role,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,positive_fraction,verdict_uncorrected,verdict,n_runs,delta,effect_size,holm_p,holm_significant
QSVM_ZZ_vs_QSVM_Z,temporal,KDDTest21_vs_KDDTestPlus,QSVM_Z,QSVM_Z,entanglement,entanglement,True,degradation_reduction,inferential,-0.02191385516107831,-0.024984090574800888,-0.03596666604506442,-0.007861044277092204,0.013671875,0.013671875,-1.1155225638288107,0.2,0.2,classical-favorable,classical-favorable,10,-0.02191385516107831,-1.1155225638288107,0.013671875,True
QSVM_ZZ_vs_SVM_Linear,temporal,KDDTest21_vs_KDDTestPlus,SVM_Linear,SVM_Linear,classical_kernel,classical_kernel,True,degradation_reduction,inferential,-0.03266106717145689,-0.03136092380313671,-0.055662104952845334,-0.009660029390068447,0.013671875,0.013671875,-1.0157941645987927,0.1,0.1,classical-favorable,classical-favorable,10,-0.03266106717145689,-1.0157941645987927,0.02734375,True
QSVM_ZZ_vs_SVM_Poly2,temporal,KDDTest21_vs_KDDTestPlus,SVM_Poly2,SVM_Poly2,classical_kernel,classical_kernel,True,degradation_reduction,inferential,-0.04844841516268452,-0.045324799133980964,-0.07248584627573378,-0.02441098404963526,0.00390625,0.00390625,-1.4418307933080983,0.1,0.1,classical-favorable,classical-favorable,10,-0.04844841516268452,-1.4418307933080983,0.01171875,True
QSVM_ZZ_vs_SVM_RBF,temporal,KDDTest21_vs_KDDTestPlus,SVM_RBF,SVM_RBF,classical_kernel,classical_kernel,True,degradation_reduction,inferential,0.0006239437797689428,-0.007442055137765247,-0.020719503745476955,0.02196739130501484,0.845703125,0.845703125,0.020912389682043127,0.4,0.4,inconclusive,inconclusive,10,0.0006239437797689428,0.020912389682043127,0.845703125,False
QSVM_ZZ_vs_RandomForest,temporal,KDDTest21_vs_KDDTestPlus,RandomForest,RandomForest,strong_tabular,strong_tabular,True,degradation_reduction,inferential,-0.004848386882876876,0.010474337208773388,-0.026277589003343572,0.01658081523758982,0.76953125,0.76953125,-0.1618504982160166,0.6,0.6,inconclusive,inconclusive,10,-0.004848386882876876,-0.1618504982160166,0.76953125,False
QSVM_ZZ_vs_XGBoost,temporal,KDDTest21_vs_KDDTestPlus,XGBoost,XGBoost,strong_tabular,strong_tabular,True,degradation_reduction,inferential,-0.012916479221108824,-0.021778387650145947,-0.03696750385024053,0.011134545408022879,0.232421875,0.232421875,-0.3841787513985292,0.4,0.4,inconclusive,inconclusive,10,-0.012916479221108824,-0.3841787513985292,0.46484375,False
QSVM_ZZ_vs_QSVM_Z,perturbation,all_sigma_slope,QSVM_Z,QSVM_Z,entanglement,entanglement,True,slope_advantage,inferential,-0.8421327894147851,-0.8495037596296415,-1.0028462060941434,-0.6814193727354267,0.001953125,0.001953125,-3.74844564389418,0.0,0.0,classical-favorable,classical-favorable,10,-0.8421327894147851,-3.74844564389418,0.001953125,True
QSVM_ZZ_vs_SVM_Linear,perturbation,all_sigma_slope,SVM_Linear,SVM_Linear,classical_kernel,classical_kernel,True,slope_advantage,inferential,-1.108240494679753,-1.0587013523104036,-1.273949600448012,-0.9425313889114941,0.001953125,0.001953125,-4.784211994202624,0.0,0.0,classical-favorable,classical-favorable,10,-1.108240494679753,-4.784211994202624,0.005859375,True
QSVM_ZZ_vs_SVM_Poly2,perturbation,all_sigma_slope,SVM_Poly2,SVM_Poly2,classical_kernel,classical_kernel,True,slope_advantage,inferential,-1.0675242760836614,-1.0198080647425554,-1.2400566268669584,-0.8949919253003643,0.001953125,0.001953125,-4.426189405868692,0.0,0.0,classical-favorable,classical-favorable,10,-1.0675242760836614,-4.426189405868692,0.005859375,True
QSVM_ZZ_vs_SVM_RBF,perturbation,all_sigma_slope,SVM_RBF,SVM_RBF,classical_kernel,classical_kernel,True,slope_advantage,inferential,-0.9966209770934729,-0.9468525483458845,-1.155870093615993,-0.8373718605709529,0.001953125,0.001953125,-4.476883226638458,0.0,0.0,classical-favorable,classical-favorable,10,-0.9966209770934729,-4.476883226638458,0.005859375,True
