run_id,seed,regime,condition,model,f1_macro,accuracy,subset_path,train_size,eval_size,elapsed_sec
1,100,perturbation,sigma_0p00,QSVM_ZZ,0.8059060585323297,0.806,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p00_N1000.csv,1000,1000,13.742149114608765
1,100,perturbation,sigma_0p00,QSVM_Z,0.8023578606893798,0.803,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p00_N1000.csv,1000,1000,13.742149114608765
1,100,perturbation,sigma_0p00,SVM_Linear,0.8229488322125094,0.823,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p00_N1000.csv,1000,1000,13.742149114608765
1,100,perturbation,sigma_0p00,SVM_Poly2,0.8239147747509794,0.824,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p00_N1000.csv,1000,1000,13.742149114608765
1,100,perturbation,sigma_0p00,SVM_RBF,0.8431870818322182,0.844,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p00_N1000.csv,1000,1000,13.742149114608765
1,100,perturbation,sigma_0p00,RandomForest,0.8448695352791697,0.845,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p00_N1000.csv,1000,1000,13.742149114608765
1,100,perturbation,sigma_0p00,XGBoost,0.8619977919646715,0.862,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p00_N1000.csv,1000,1000,13.742149114608765
1,100,perturbation,sigma_0p01,QSVM_ZZ,0.8049436287086968,0.805,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p01_N1000.csv,1000,1000,14.47721552848816
1,100,perturbation,sigma_0p01,QSVM_Z,0.8044083352140223,0.805,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p01_N1000.csv,1000,1000,14.47721552848816
1,100,perturbation,sigma_0p01,SVM_Linear,0.8239549324627105,0.824,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p01_N1000.csv,1000,1000,14.47721552848816
1,100,perturbation,sigma_0p01,SVM_Poly2,0.8239147747509794,0.824,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p01_N1000.csv,1000,1000,14.47721552848816
1,100,perturbation,sigma_0p01,SVM_RBF,0.8431870818322182,0.844,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p01_N1000.csv,1000,1000,14.47721552848816
1,100,perturbation,sigma_0p01,RandomForest,0.8449030644152595,0.845,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p01_N1000.csv,1000,1000,14.47721552848816
1,100,perturbation,sigma_0p01,XGBoost,0.8479781088476741,0.848,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p01_N1000.csv,1000,1000,14.47721552848816
1,100,perturbation,sigma_0p05,QSVM_ZZ,0.8189346354033806,0.819,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p05_N1000.csv,1000,1000,14.345479249954224
1,100,perturbation,sigma_0p05,QSVM_Z,0.7903187456044689,0.791,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p05_N1000.csv,1000,1000,14.345479249954224
1,100,perturbation,sigma_0p05,SVM_Linear,0.8239549324627105,0.824,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p05_N1000.csv,1000,1000,14.345479249954224
1,100,perturbation,sigma_0p05,SVM_Poly2,0.8219138062822406,0.822,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p05_N1000.csv,1000,1000,14.345479249954224
1,100,perturbation,sigma_0p05,SVM_RBF,0.8439247979329602,0.845,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p05_N1000.csv,1000,1000,14.345479249954224
1,100,perturbation,sigma_0p05,RandomForest,0.844999844999845,0.845,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p05_N1000.csv,1000,1000,14.345479249954224
1,100,perturbation,sigma_0p05,XGBoost,0.8309863098911012,0.831,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p05_N1000.csv,1000,1000,14.345479249954224
