run_id,model,slope
1,QSVM_Z,-0.37960938438489455
1,QSVM_ZZ,-0.8952476470719475
1,RandomForest,-0.2802706422939629
1,SVM_Linear,0.004203077541491575
1,SVM_Poly2,-0.042653574984065835
1,SVM_RBF,-0.1461445075875833
1,XGBoost,-0.39185453017533306
2,QSVM_Z,-0.1494811827533251
2,QSVM_ZZ,-1.0230673430858082
2,RandomForest,-0.32460172538243487
2,SVM_Linear,0.05749207927799968
2,SVM_Poly2,-0.08860258195801492
2,SVM_RBF,-0.19681990418159867
2,XGBoost,-0.5050838062509402
3,QSVM_Z,-0.22398071891382482
3,QSVM_ZZ,-0.7590368210863506
3,RandomForest,-0.15592531555538372
3,SVM_Linear,0.0026060368900548375
3,SVM_Poly2,-0.04128915562092419
3,SVM_RBF,0.11470071245404159
3,XGBoost,-0.5319808468721959
4,QSVM_Z,-0.2722687845093791
4,QSVM_ZZ,-1.4292138866925448
4,RandomForest,-0.24470074366393768
4,SVM_Linear,-0.03366301818139569
4,SVM_Poly2,-0.021569199475040615
4,SVM_RBF,-0.03765309096931274
4,XGBoost,-0.3650864012892002
5,QSVM_Z,-0.30936510811273593
5,QSVM_ZZ,-1.0584851152801535
5,RandomForest,-0.1934836759538649
5,SVM_Linear,-0.021641833023153877
5,SVM_Poly2,0.01975408856788202
5,SVM_RBF,-0.1624070663629797
5,XGBoost,-0.5119456385523052
6,QSVM_Z,-0.3066705271542929
6,QSVM_ZZ,-1.2204382522673243
6,RandomForest,-0.21563560410825272
6,SVM_Linear,-0.01612680473423406
6,SVM_Poly2,-0.09495762741839917
6,SVM_RBF,-0.19548171922655447
6,XGBoost,-0.3874422390176408
7,QSVM_Z,-0.22762032239669505
7,QSVM_ZZ,-0.9250163909827256
7,RandomForest,-0.1335812081367407
7,SVM_Linear,0.0011006734492795193
7,SVM_Poly2,-0.005477079078620271
7,SVM_RBF,-0.13538732785141325
7,XGBoost,-0.3135911958035427
8,QSVM_Z,-0.24234374999408861
8,QSVM_ZZ,-1.2573211293252329
8,RandomForest,-0.21028772378377802
8,SVM_Linear,0.00821993827441024
8,SVM_Poly2,-0.05513238501585373
8,SVM_RBF,-0.19184358918561212
8,XGBoost,-0.2539471430813352
9,QSVM_Z,-0.21663315557194207
9,QSVM_ZZ,-1.042054514498742
9,RandomForest,-0.20214204050749204
9,SVM_Linear,-0.03068627909225076
9,SVM_Poly2,-0.08067758886166679
9,SVM_RBF,-0.04442746672414684
9,XGBoost,-0.15188354537646934
10,QSVM_Z,-0.41504930558719605
10,QSVM_ZZ,-1.5544690332353959
10,RandomForest,-0.5660516819106364
10,SVM_Linear,-0.053449057130898404
10,SVM_Poly2,-0.07850226884490653
10,SVM_RBF,-0.2026764029563364
10,XGBoost,-0.9449094624486936
