run_id,seed,regime,condition,model,f1_macro,accuracy,subset_path,train_size,eval_size,elapsed_sec
1,100,prior_shift,attack_30pct,QSVM_ZZ,0.8116094749495295,0.845,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run01_attack_30pct_N1000.csv,1000,1000,15.974649906158447
1,100,prior_shift,attack_30pct,QSVM_Z,0.8131464124111183,0.852,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run01_attack_30pct_N1000.csv,1000,1000,15.974649906158447
1,100,prior_shift,attack_30pct,SVM_Linear,0.7863346235888937,0.819,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run01_attack_30pct_N1000.csv,1000,1000,15.974649906158447
1,100,prior_shift,attack_30pct,SVM_Poly2,0.8020184221858156,0.84,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run01_attack_30pct_N1000.csv,1000,1000,15.974649906158447
1,100,prior_shift,attack_30pct,SVM_RBF,0.810139030526688,0.833,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run01_attack_30pct_N1000.csv,1000,1000,15.974649906158447
1,100,prior_shift,attack_30pct,RandomForest,0.8257708462827975,0.852,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run01_attack_30pct_N1000.csv,1000,1000,15.974649906158447
1,100,prior_shift,attack_30pct,XGBoost,0.8513949835367749,0.879,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run01_attack_30pct_N1000.csv,1000,1000,15.974649906158447
2,101,prior_shift,attack_30pct,QSVM_ZZ,0.8271971998593066,0.859,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run02_attack_30pct_N1000.csv,1000,1000,16.32300639152527
2,101,prior_shift,attack_30pct,QSVM_Z,0.7914981719569025,0.843,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run02_attack_30pct_N1000.csv,1000,1000,16.32300639152527
2,101,prior_shift,attack_30pct,SVM_Linear,0.7767857142857143,0.82,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run02_attack_30pct_N1000.csv,1000,1000,16.32300639152527
2,101,prior_shift,attack_30pct,SVM_Poly2,0.7935802212770586,0.833,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run02_attack_30pct_N1000.csv,1000,1000,16.32300639152527
2,101,prior_shift,attack_30pct,SVM_RBF,0.8032478501228502,0.836,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run02_attack_30pct_N1000.csv,1000,1000,16.32300639152527
2,101,prior_shift,attack_30pct,RandomForest,0.80985400738853,0.846,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run02_attack_30pct_N1000.csv,1000,1000,16.32300639152527
2,101,prior_shift,attack_30pct,XGBoost,0.8227700676728986,0.853,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run02_attack_30pct_N1000.csv,1000,1000,16.32300639152527
3,102,prior_shift,attack_30pct,QSVM_ZZ,0.8030992905459531,0.839,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run03_attack_30pct_N1000.csv,1000,1000,15.872759580612183
3,102,prior_shift,attack_30pct,QSVM_Z,0.8361861078200181,0.871,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run03_attack_30pct_N1000.csv,1000,1000,15.872759580612183
3,102,prior_shift,attack_30pct,SVM_Linear,0.8064016520392359,0.838,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run03_attack_30pct_N1000.csv,1000,1000,15.872759580612183
3,102,prior_shift,attack_30pct,SVM_Poly2,0.8135198135198135,0.848,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run03_attack_30pct_N1000.csv,1000,1000,15.872759580612183
3,102,prior_shift,attack_30pct,SVM_RBF,0.8005002839034421,0.831,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run03_attack_30pct_N1000.csv,1000,1000,15.872759580612183
3,102,prior_shift,attack_30pct,RandomForest,0.8530261663245581,0.882,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run03_attack_30pct_N1000.csv,1000,1000,15.872759580612183
3,102,prior_shift,attack_30pct,XGBoost,0.8262137281499968,0.856,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run03_attack_30pct_N1000.csv,1000,1000,15.872759580612183
4,103,prior_shift,attack_30pct,QSVM_ZZ,0.8680872653475393,0.896,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run04_attack_30pct_N1000.csv,1000,1000,16.673319578170776
4,103,prior_shift,attack_30pct,QSVM_Z,0.8369905956112853,0.87,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run04_attack_30pct_N1000.csv,1000,1000,16.673319578170776
4,103,prior_shift,attack_30pct,SVM_Linear,0.823416398259592,0.85,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run04_attack_30pct_N1000.csv,1000,1000,16.673319578170776
4,103,prior_shift,attack_30pct,SVM_Poly2,0.8501956590842936,0.877,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run04_attack_30pct_N1000.csv,1000,1000,16.673319578170776
4,103,prior_shift,attack_30pct,SVM_RBF,0.826274455702541,0.864,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run04_attack_30pct_N1000.csv,1000,1000,16.673319578170776
4,103,prior_shift,attack_30pct,RandomForest,0.8604769152714358,0.89,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run04_attack_30pct_N1000.csv,1000,1000,16.673319578170776
4,103,prior_shift,attack_30pct,XGBoost,0.8656789677114834,0.893,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run04_attack_30pct_N1000.csv,1000,1000,16.673319578170776
5,104,prior_shift,attack_30pct,QSVM_ZZ,0.8197210810526856,0.849,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run05_attack_30pct_N1000.csv,1000,1000,18.49526596069336
5,104,prior_shift,attack_30pct,QSVM_Z,0.7998385794995965,0.845,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run05_attack_30pct_N1000.csv,1000,1000,18.49526596069336
5,104,prior_shift,attack_30pct,SVM_Linear,0.7768010224757629,0.821,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run05_attack_30pct_N1000.csv,1000,1000,18.49526596069336
5,104,prior_shift,attack_30pct,SVM_Poly2,0.7818366311516997,0.828,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run05_attack_30pct_N1000.csv,1000,1000,18.49526596069336
5,104,prior_shift,attack_30pct,SVM_RBF,0.808992184886304,0.835,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run05_attack_30pct_N1000.csv,1000,1000,18.49526596069336
5,104,prior_shift,attack_30pct,RandomForest,0.8034685939104929,0.841,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run05_attack_30pct_N1000.csv,1000,1000,18.49526596069336
5,104,prior_shift,attack_30pct,XGBoost,0.8142998861365092,0.848,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\prior_shift\run05_attack_30pct_N1000.csv,1000,1000,18.49526596069336
