run_id,condition,baseline,baseline_family,qsvm_effect
1,attack_30pct,QSVM_Z,entanglement,-0.0015369374615887832
2,attack_30pct,QSVM_Z,entanglement,0.03569902790240409
3,attack_30pct,QSVM_Z,entanglement,-0.03308681727406504
4,attack_30pct,QSVM_Z,entanglement,0.031096669736254023
5,attack_30pct,QSVM_Z,entanglement,0.019882501553089127
6,attack_30pct,QSVM_Z,entanglement,0.026588091878761988
7,attack_30pct,QSVM_Z,entanglement,0.006065910457013102
8,attack_30pct,QSVM_Z,entanglement,0.027434038624297163
9,attack_30pct,QSVM_Z,entanglement,0.006377092043415855
10,attack_30pct,QSVM_Z,entanglement,0.029557517668108657
1,attack_30pct,SVM_Linear,classical_kernel,0.025274851360635786
2,attack_30pct,SVM_Linear,classical_kernel,0.05041148557359232
3,attack_30pct,SVM_Linear,classical_kernel,-0.0033023614932827794
4,attack_30pct,SVM_Linear,classical_kernel,0.04467086708794732
5,attack_30pct,SVM_Linear,classical_kernel,0.042920058576922715
6,attack_30pct,SVM_Linear,classical_kernel,-0.004736509210233275
7,attack_30pct,SVM_Linear,classical_kernel,0.023353995779431536
8,attack_30pct,SVM_Linear,classical_kernel,0.022923027970292997
9,attack_30pct,SVM_Linear,classical_kernel,0.02060856940187672
10,attack_30pct,SVM_Linear,classical_kernel,0.08096344589561555
1,attack_30pct,SVM_Poly2,classical_kernel,0.009591052763713859
2,attack_30pct,SVM_Poly2,classical_kernel,0.03361697858224799
3,attack_30pct,SVM_Poly2,classical_kernel,-0.010420522973860424
4,attack_30pct,SVM_Poly2,classical_kernel,0.017891606263245707
5,attack_30pct,SVM_Poly2,classical_kernel,0.03788444990098594
6,attack_30pct,SVM_Poly2,classical_kernel,-0.032742516552103806
7,attack_30pct,SVM_Poly2,classical_kernel,0.011723676391889981
8,attack_30pct,SVM_Poly2,classical_kernel,0.006439959981187071
9,attack_30pct,SVM_Poly2,classical_kernel,0.005204029412592348
10,attack_30pct,SVM_Poly2,classical_kernel,0.03648044837085462
1,attack_30pct,SVM_RBF,classical_kernel,0.0014704444228414992
2,attack_30pct,SVM_RBF,classical_kernel,0.02394934973645646
3,attack_30pct,SVM_RBF,classical_kernel,0.0025990066425110037
4,attack_30pct,SVM_RBF,classical_kernel,0.04181280964499834
5,attack_30pct,SVM_RBF,classical_kernel,0.010728896166381618
6,attack_30pct,SVM_RBF,classical_kernel,-0.02004704508814814
7,attack_30pct,SVM_RBF,classical_kernel,-0.01444498482174228
8,attack_30pct,SVM_RBF,classical_kernel,0.0068859462980689345
9,attack_30pct,SVM_RBF,classical_kernel,0.0270686850736378
10,attack_30pct,SVM_RBF,classical_kernel,0.06681981720530361
1,attack_30pct,RandomForest,strong_tabular,-0.014161371333268002
2,attack_30pct,RandomForest,strong_tabular,0.017343192470776647
3,attack_30pct,RandomForest,strong_tabular,-0.049926875778604995
4,attack_30pct,RandomForest,strong_tabular,0.007610350076103556
5,attack_30pct,RandomForest,strong_tabular,0.01625248714219274
6,attack_30pct,RandomForest,strong_tabular,-0.008050098330035782
7,attack_30pct,RandomForest,strong_tabular,-0.03251475508358048
8,attack_30pct,RandomForest,strong_tabular,-0.021433833258387325
9,attack_30pct,RandomForest,strong_tabular,-0.004917920066377146
10,attack_30pct,RandomForest,strong_tabular,-0.0002938386866109255
