run_id,baseline,baseline_family,qsvm_effect
1,QSVM_Z,entanglement,-0.03688260051518555
2,QSVM_Z,entanglement,0.0009947555178784206
3,QSVM_Z,entanglement,-0.04759886445484274
4,QSVM_Z,entanglement,-0.028540232902297902
5,QSVM_Z,entanglement,-0.003405100940759964
6,QSVM_Z,entanglement,-0.049119629047846614
7,QSVM_Z,entanglement,-0.010973203320686964
8,QSVM_Z,entanglement,-0.025353795981375438
9,QSVM_Z,entanglement,-0.024614385168226338
10,QSVM_Z,entanglement,0.006354505202559979
1,SVM_Linear,classical_kernel,-0.05293666030471589
2,SVM_Linear,classical_kernel,-0.005918973518173165
3,SVM_Linear,classical_kernel,-0.055609343029621616
4,SVM_Linear,classical_kernel,-0.02040128695822052
5,SVM_Linear,classical_kernel,-0.014057161487272651
6,SVM_Linear,classical_kernel,-0.08665550415552703
7,SVM_Linear,classical_kernel,-0.032055689854388
8,SVM_Linear,classical_kernel,-0.05628869563877459
9,SVM_Linear,classical_kernel,-0.030666157751885414
10,SVM_Linear,classical_kernel,0.027978800984009955
1,SVM_Poly2,classical_kernel,-0.06634408600525044
2,SVM_Poly2,classical_kernel,-0.018701866723980443
3,SVM_Poly2,classical_kernel,-0.07109907698238382
4,SVM_Poly2,classical_kernel,-0.03070214107495972
5,SVM_Poly2,classical_kernel,-0.04020601085513753
6,SVM_Poly2,classical_kernel,-0.10125813541589923
7,SVM_Poly2,classical_kernel,-0.038129192686358615
8,SVM_Poly2,classical_kernel,-0.08244332283869804
9,SVM_Poly2,classical_kernel,-0.0504435874128244
10,SVM_Poly2,classical_kernel,0.014843268368647022
1,SVM_RBF,classical_kernel,-0.007205472622455744
2,SVM_RBF,classical_kernel,0.023414357492022475
3,SVM_RBF,classical_kernel,0.018739651837792914
4,SVM_RBF,classical_kernel,-0.028673165272249057
5,SVM_RBF,classical_kernel,0.018008911613413114
6,SVM_RBF,classical_kernel,-0.03833852747263511
7,SVM_RBF,classical_kernel,-0.007925229183220028
8,SVM_RBF,classical_kernel,-0.007678637653074749
9,SVM_RBF,classical_kernel,-0.02495747245355784
10,SVM_RBF,classical_kernel,0.06085502151165345
1,RandomForest,strong_tabular,0.023865167608278948
2,RandomForest,strong_tabular,0.020193803330411875
3,RandomForest,strong_tabular,-0.05365392927811685
4,RandomForest,strong_tabular,-0.03321551205584272
5,RandomForest,strong_tabular,0.017957673562325138
6,RandomForest,strong_tabular,-0.018808834109853567
7,RandomForest,strong_tabular,0.010057119783282054
8,RandomForest,strong_tabular,-0.0454727366707518
9,RandomForest,strong_tabular,0.019701824367233445
10,RandomForest,strong_tabular,0.010891554634264722
1,XGBoost,strong_tabular,-0.04980238037719831
2,XGBoost,strong_tabular,0.0362598107940324
3,XGBoost,strong_tabular,-0.027563842621571744
4,XGBoost,strong_tabular,-0.03452208580200489
5,XGBoost,strong_tabular,0.02059158257119187
6,XGBoost,strong_tabular,-0.03887356897918037
7,XGBoost,strong_tabular,-0.020424539146408183
8,XGBoost,strong_tabular,-0.061436908202394114
9,XGBoost,strong_tabular,0.02329943031511328
10,XGBoost,strong_tabular,0.01974964164104165
