model_name,distribution_name,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_pos_mean,precision_pos_std,recall_pos_mean,recall_pos_std,ece_mean,ece_std,brier_mean,brier_std,auc_pr_mean,auc_pr_std,roc_auc_mean,roc_auc_std
QSVM (ZZ),Attack-heavy,0.798,0.029870089089626427,0.7816552098571566,0.02513796270017446,0.9368616109719918,0.02523318899625799,0.7647619047619048,0.06402947167227284,0.1541574401776044,0.02957880729403315,0.1460008054156296,0.023838101812013,0.9613354958252144,0.006307500495664363,0.9102539682539682,0.01768515649422073
QSVM (ZZ),Balanced,0.8413333333333334,0.013457752825457544,0.839879451043202,0.014454412604866641,0.9150680741003322,0.031960070392298895,0.7546666666666667,0.048853522561496686,0.09910970906817866,0.013654154962688209,0.11727562795282742,0.009212493655372106,0.939972775340584,0.005376541831640069,0.9313511111111111,0.006357155975651714
QSVM (ZZ),DoS-only,0.8246666666666667,0.021160760330805172,0.823028451680055,0.023081553815754215,0.8910613596917496,0.02017524649738027,0.7413333333333333,0.06225396015962001,0.12056867008070182,0.024367186135610196,0.13609626639364253,0.012878855827347827,0.914323964885204,0.010115984883053444,0.8936577777777778,0.015574112740516604
Random Forest,Attack-heavy,0.8066666666666666,0.029059326290271168,0.7920378002915115,0.028355062637734477,0.9489098516075444,0.024819192119979204,0.7657142857142857,0.04433944513137056,0.14700297733309572,0.02373557310589585,0.13460784143308177,0.016600223250994823,0.9720556642507322,0.004618181733808645,0.9383333333333332,0.009164499999709433
Random Forest,Balanced,0.8320000000000001,0.015916448515084457,0.8307164102294304,0.015754350015519423,0.9017030823650252,0.03597696853605273,0.7466666666666667,0.02211083193570267,0.11216369714298995,0.017125349111321627,0.11627060545695347,0.008354001960468559,0.9429193326925928,0.0083527651977593,0.9427466666666667,0.006415502058815581
Random Forest,DoS-only,0.8326666666666667,0.013416407864998698,0.8313816536611185,0.013190381989265643,0.9014137310624271,0.039921393828013685,0.7493333333333333,0.029287843515318365,0.11466677669355976,0.018140817023872467,0.1227393988958652,0.010047923080187005,0.9417734479702858,0.005561798686621389,0.9359288888888889,0.006470472343320757
SVM-RBF,Attack-heavy,0.78,0.03464101615137753,0.7628349344571195,0.027022190099424095,0.9267776364686335,0.029923922017011634,0.7476190476190476,0.08031965615920476,0.16011182456437315,0.038155744576107556,0.1676852927311298,0.02488994749436267,0.9473866212954487,0.005916045574568844,0.8822275132275132,0.011087661069366176
SVM-RBF,Balanced,0.8219999999999998,0.012382783747337839,0.8201710862934257,0.012997118508415041,0.8989610332328223,0.03523491690266237,0.728,0.04407065034943573,0.11145394932182526,0.018176151688886647,0.13604776433000368,0.006779032779271222,0.9169025885029649,0.010186517335154802,0.90664,0.009819926830835487
SVM-RBF,DoS-only,0.8073333333333335,0.015347819244295147,0.8048962721078317,0.017432346343266805,0.8820268786872439,0.05683959627344159,0.7173333333333334,0.07825882981775568,0.13545972778332796,0.02802324820421992,0.15765609814009127,0.015351923890748714,0.8970891608073435,0.011568207963097318,0.8619688888888888,0.018651816844611577
XGBoost,Attack-heavy,0.8160000000000001,0.038180856168736926,0.8011148177381366,0.03775326402827935,0.9498358531280486,0.028244992696778368,0.779047619047619,0.055184703260259566,0.1541594235843707,0.02747245766569209,0.14488541464878602,0.027053919320416665,0.9726894785427715,0.00723718409839421,0.9375291005291005,0.01524997011214703
XGBoost,Balanced,0.8353333333333334,0.028047578623950166,0.8343205085790573,0.028311294312657175,0.8935567914410345,0.039153718984682416,0.7626666666666667,0.04584999697079838,0.13141124355061523,0.022089681948219156,0.12961461492429366,0.02045459382169331,0.9459162577561319,0.010330455809182721,0.9423422222222222,0.01134434758909577
XGBoost,DoS-only,0.8400000000000001,0.025712081034235893,0.83913978282581,0.02580961784357416,0.8952706568649301,0.04357127048960921,0.772,0.03927113726672839,0.12964783342471736,0.023151267130035104,0.1309495054793703,0.017460654741324796,0.9431995593005755,0.011634864290262345,0.9336488888888889,0.01531084018466962
