dataset,arm,test_split,n_train,comparison,baseline,baseline_family,metric,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,verdict_uncorrected,verdict,n_runs,holm_p
NSL-KDD,frozen_c2,fixed_300,100,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.03918484122335251,-0.02616579663435986,-0.07887310662124733,0.0005034241745423065,0.048828125,0.048828125,-0.7062829906387408,0.2,inconclusive,inconclusive,10,0.048828125
NSL-KDD,frozen_c2,fixed_300,100,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.018350642848808895,-0.0018009752488210018,-0.0449910239748178,0.0816923096724356,0.845703125,0.845703125,0.2072452423370727,0.5,inconclusive,inconclusive,10,0.845703125
NSL-KDD,frozen_c2,fixed_300,100,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.05755127571640696,0.0339052937763103,-0.010912540588145489,0.1260150920209594,0.037109375,0.037109375,0.6013351979681562,0.9,inconclusive,inconclusive,10,0.111328125
NSL-KDD,frozen_c2,fixed_300,100,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.029860574957329265,-0.03530720184501135,-0.06860595716444433,0.008884807249785798,0.16015625,0.16015625,-0.5513165000617164,0.4,inconclusive,inconclusive,10,0.3203125
NSL-KDD,frozen_c2,fixed_300,100,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.034132195050978455,-0.028128950968429267,-0.06840263653611803,0.0001382464341611253,0.048828125,0.048828125,-0.712471167208126,0.3,inconclusive,inconclusive,10,0.07421875
NSL-KDD,frozen_c2,fixed_300,100,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.042379313571055066,-0.03531157944494201,-0.0789786089266277,-0.005780018215482442,0.037109375,0.037109375,-0.8283311014274644,0.2,classical-favorable,inconclusive,10,0.07421875
NSL-KDD,frozen_c2,fixed_300,200,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.002842631162532938,-0.003065646045582293,-0.029347223985967077,0.023661961660901204,0.921875,0.921875,-0.07672239474840876,0.5,inconclusive,inconclusive,10,0.921875
NSL-KDD,frozen_c2,fixed_300,200,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.02506717967137596,0.03156822506789786,-0.0008617181582750433,0.050996077501026964,0.083984375,0.083984375,0.6915828126955758,0.7,inconclusive,inconclusive,10,0.16796875
NSL-KDD,frozen_c2,fixed_300,200,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.04933271568801778,0.0494416734826561,0.02321987418169548,0.07544555719434008,0.005859375,0.005859375,1.3514614581169393,0.9,QSVM-favorable,QSVM-favorable,10,0.017578125
NSL-KDD,frozen_c2,fixed_300,200,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.009423906059560538,-0.011501597986499745,-0.03454699350283312,0.015699181383712048,0.322265625,0.322265625,-0.2683370941627893,0.2,inconclusive,inconclusive,10,0.322265625
NSL-KDD,frozen_c2,fixed_300,200,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.017021544417362457,-0.025097755272266875,-0.04315286320746764,0.009109774372742723,0.193359375,0.193359375,-0.4659726302775565,0.3,inconclusive,inconclusive,10,0.2109375
NSL-KDD,frozen_c2,fixed_300,200,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.022487908974528226,-0.02162575578684145,-0.047354123902263845,0.0023783059532073957,0.10546875,0.10546875,-0.6469372613612072,0.3,inconclusive,inconclusive,10,0.2109375
NSL-KDD,frozen_c2,fixed_300,500,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.0035714154502891394,-0.006653982448285911,-0.019091374652054738,0.01194854375147646,0.6953125,0.6953125,-0.16461619990367118,0.4,inconclusive,inconclusive,10,0.6953125
NSL-KDD,frozen_c2,fixed_300,500,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.03938641944020309,0.03470431225546872,0.02762649025446723,0.05114634862593895,0.001953125,0.001953125,2.3958772797868244,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
NSL-KDD,frozen_c2,fixed_300,500,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.06106851083764794,0.0562186976377565,0.048905719222029374,0.0732313024532665,0.001953125,0.001953125,3.5917560989006643,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
NSL-KDD,frozen_c2,fixed_300,500,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.005505348974480096,-0.00666543295146621,-0.020543659618376196,0.009532961669416003,0.431640625,0.431640625,-0.2618837648676559,0.4,inconclusive,inconclusive,10,0.431640625
NSL-KDD,frozen_c2,fixed_300,500,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-4.169696867465378e-05,0.0018694569643386005,-0.01937926883173658,0.01929587489438727,1.0,1.0,-0.0015425005119920484,0.5,inconclusive,inconclusive,10,1.0
NSL-KDD,frozen_c2,fixed_300,500,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.012248630569863694,-0.006592382452125012,-0.036152989490131904,0.011655728350404515,0.375,0.375,-0.3665499876428846,0.5,inconclusive,inconclusive,10,0.75
