dataset,n_train,model,f1_rare,recall_rare,margin_signed_mean,margin_abs_mean,d_signed_vs_ZZ,d_absmargin_vs_ZZ,delta_f1_rare,ci_low,ci_high,wilcoxon_p,verdict
NSL-KDD,100,QSVM_ZZ,0.3333791748788081,0.2189024390243902,-0.32333994566126956,0.49100064139034927,,,,,,,
NSL-KDD,100,QSVM_Z,0.40605436888452545,0.2850948509485095,-0.3869839056570795,0.6762966085535594,0.2102192044466046,-0.643674757048122,-0.07267519400571751,-0.22258555046554124,0.07723516245410622,0.232421875,inconclusive
NSL-KDD,100,SVM_Linear,0.10533931062251897,0.05877371273712732,-0.8021129801027207,0.8535572438618878,1.2136448830368691,-1.4631800688069672,0.228039864256289,0.06439807618921264,0.3916816523233654,0.01953125,QSVM-favorable
NSL-KDD,100,SVM_Poly2,0.16649044297764062,0.09539295392953927,-0.5193118869914333,0.6137629023586737,0.44027811232053493,-0.3148713160046998,0.16688873190116735,-0.05019939929742692,0.38397686309976164,0.130859375,inconclusive
NSL-KDD,100,SVM_RBF,0.20995591700885288,0.13570460704607043,-0.5951923421818635,0.7158978863473846,0.6811472551448425,-0.8201289806607045,0.12342325786995514,-0.0323972065971001,0.2792437223370104,0.10546875,inconclusive
NSL-KDD,100,RandomForest,0.25501907808277374,0.15287940379403792,-0.22189828824840702,0.28383199969262185,-0.3363120787447698,0.9135678963752569,0.07836009679603424,-0.02100545100292299,0.17772564459499146,0.193359375,inconclusive
NSL-KDD,100,XGBoost,0.27511841614788135,0.16737804878048776,-0.25425755300213326,0.3362888782469399,-0.2378102502357735,0.6683889647016914,0.058260758730926634,-0.026666439004533124,0.14318795646638638,0.232421875,inconclusive
NSL-KDD,200,QSVM_ZZ,0.33769835750673494,0.2224593495934959,-0.340469899376584,0.49556751985395275,,,,,,,
NSL-KDD,200,QSVM_Z,0.3915525237606484,0.2691056910569106,-0.4595590526036563,0.7241220159196284,0.35690002632409706,-0.7936860341771304,-0.053854166253913496,-0.2491247834870121,0.1414164509791851,0.76953125,inconclusive
NSL-KDD,200,SVM_Linear,0.09116895568588394,0.047764227642276356,-0.8614444819766023,0.9067565509277845,1.3018377004500246,-1.628568682987972,0.24652940182085104,0.09253435771364937,0.4005244459280527,0.005859375,QSVM-favorable
NSL-KDD,200,SVM_Poly2,0.25423940373173515,0.16344850948509482,-0.5163991837946487,0.7516168380450716,0.3743824946943123,-0.5184962266294445,0.08345895377499978,-0.043804066528535426,0.210721974078535,0.16015625,inconclusive
NSL-KDD,200,SVM_RBF,0.3011289098775016,0.19132791327913273,-0.5937528904016796,0.8248086035002118,0.5470035321642776,-1.1572512270686062,0.036569447629233295,-0.08847066641569805,0.16160956167416463,0.4921875,inconclusive
NSL-KDD,200,RandomForest,0.35025733647849233,0.22201897018970188,-0.18361179180062032,0.2918142011912871,-0.46318771772262457,0.8462177149912484,-0.012558978971757413,-0.12888838676190703,0.1037704288183922,0.76953125,inconclusive
NSL-KDD,200,XGBoost,0.3968579117302225,0.25464092140921407,-0.20334504081648053,0.35862053210435674,-0.38441853540146276,0.5329435233976446,-0.05915955422348753,-0.16655360632547525,0.0482344978785002,0.322265625,inconclusive
NSL-KDD,500,QSVM_ZZ,0.3730910401844637,0.23489159891598915,-0.44234959940483165,0.6710833010016652,,,,,,,
NSL-KDD,500,QSVM_Z,0.41199668618612506,0.28475609756097564,-0.43256795650657487,0.7800135727095006,0.04171554787064953,-0.29500973662974156,-0.03890564600166134,-0.17008771110954846,0.09227641910622576,0.4921875,inconclusive
NSL-KDD,500,SVM_Linear,0.09536413955307003,0.0501693766937669,-0.908838803090935,0.9552604318176545,0.8929742371837243,-0.8526614083430986,0.27772690063139366,0.18495123397548532,0.370502567287302,0.001953125,QSVM-favorable
NSL-KDD,500,SVM_Poly2,0.3026331246146589,0.1979674796747967,-0.5763862567330836,0.8328536024219424,0.20542347583305776,-0.24568708072072662,0.07045791556980478,-0.0936015989002053,0.23451743003981484,0.322265625,inconclusive
NSL-KDD,500,SVM_RBF,0.46073159476401876,0.31649728997289966,-0.3894207418952216,0.8176204974856155,-0.04601676385627701,-0.3968380880703596,-0.08764055457955502,-0.16807699081904448,-0.007204118340065568,0.048828125,classical-favorable
NSL-KDD,500,RandomForest,0.32014163603719215,0.20023712737127367,-0.22206076379502374,0.31478797060607977,-0.4907811237944175,1.2920108579053033,0.0529494041472716,-0.03813061761461098,0.14402942590915419,0.4921875,inconclusive
NSL-KDD,500,XGBoost,0.33112859842243625,0.20592818428184279,-0.24051347912407822,0.3584147291858667,-0.43388192315932733,1.1455277975675053,0.04196244176202746,-0.04825788706590518,0.13218277058996009,0.556640625,inconclusive
NSL-KDD,1000,QSVM_ZZ,0.48563730331197175,0.32635501355013546,-0.39194809657466967,0.8601835992226435,,,,,,,
NSL-KDD,1000,QSVM_Z,0.3998083362304543,0.2633130081300813,-0.499429504280711,0.8324384444276836,0.1492404612560976,0.037292909421436454,0.08582896708151735,-0.02950280066326677,0.20116073482630148,0.064453125,inconclusive
NSL-KDD,1000,SVM_Linear,0.0895029110136964,0.0468495934959349,-0.9094059831892526,0.9565421152701609,0.7787289423836729,-0.30672224749007865,0.3961343922982753,0.32191315808011134,0.47035562651643925,0.001953125,QSVM-favorable
NSL-KDD,1000,SVM_Poly2,0.2989710323051261,0.19569783197831972,-0.5641319284069162,0.9003249024346995,0.260196018388673,-0.12336288040375684,0.18666627100684557,0.00038219376422668483,0.3729503482494645,0.083984375,inconclusive
NSL-KDD,1000,SVM_RBF,0.3814947755297084,0.2547425474254742,-0.4583667061033424,0.8899476964803821,0.11597620860437974,-0.11316385443604574,0.10414252778226332,-0.04761450244462381,0.25589955800915043,0.30078125,inconclusive
NSL-KDD,1000,RandomForest,0.3875439907388469,0.24684959349593488,-0.2031531601011934,0.3277867374641134,-0.32869201505371615,1.5975188946852623,0.09809331257312481,0.017431119749334714,0.17875550539691493,0.037109375,QSVM-favorable
NSL-KDD,1000,XGBoost,0.42722887205682925,0.27828590785907853,-0.20539609364216238,0.38480408687578627,-0.3164325193188152,1.4280553526776822,0.0584084312551425,-0.019347348974717446,0.13616421148500246,0.275390625,inconclusive
NSL-KDD,2000,QSVM_ZZ,0.4883566007560045,0.3274728997289972,-0.35580231404574125,0.9526569080280188,,,,,,,
NSL-KDD,2000,QSVM_Z,0.42403231038980627,0.2734756097560975,-0.4599911091548677,0.7679337479206529,0.10096916030429721,0.36090304857014754,0.06432429036619829,-0.02094999499262766,0.14959857572502422,0.16015625,inconclusive
NSL-KDD,2000,SVM_Linear,0.08876197988826802,0.04644308943089425,-0.9289789413964652,0.9765071133358454,0.7178255140422359,-0.08653315150615908,0.3995946208677366,0.33348298774586577,0.46570625398960747,0.001953125,QSVM-favorable
NSL-KDD,2000,SVM_Poly2,0.17491496832342496,0.10819783197831971,-0.6532013578286681,0.8586730302746088,0.34921889404267414,0.18850296097057312,0.3134416324325796,0.16048894760088972,0.4663943172642695,0.009765625,QSVM-favorable
NSL-KDD,2000,SVM_RBF,0.602857599430874,0.4401084010840107,-0.16345023336566183,0.7937865543678417,-0.21917739032932712,0.3140950185589043,-0.11450099867486944,-0.20657544512363485,-0.022426552226104027,0.037109375,classical-favorable
NSL-KDD,2000,RandomForest,0.3800392911902523,0.2360433604336043,-0.20024391891740984,0.33457803055953816,-0.23247609775456962,1.5517045844346495,0.10831730956575222,0.033231964653858206,0.18340265447764625,0.009765625,QSVM-favorable
NSL-KDD,2000,XGBoost,0.4034182082153631,0.25443766937669376,-0.21618102041242238,0.38632844152852763,-0.20758078644137007,1.428996460366442,0.08493839254064149,0.011838788091858232,0.15803799698942475,0.048828125,QSVM-favorable
NSL-KDD,5000,QSVM_ZZ,0.5093377580947348,0.3420731707317073,-0.45224887511451967,1.0706261972496107,,,,,,,
NSL-KDD,5000,QSVM_Z,0.4122335840212671,0.26476964769647693,-0.4696491165632775,0.7941445253197775,0.01518629241965514,0.47241318308031544,0.09710417407346775,0.015383286535949114,0.17882506161098638,0.064453125,inconclusive
NSL-KDD,5000,SVM_Linear,0.0887630187998694,0.046443089430894244,-0.9671333708028206,1.013113025587125,0.5784003279275723,0.100121425604039,0.4205747392948654,0.40125718619563455,0.4398922923940962,0.001953125,QSVM-favorable
NSL-KDD,5000,SVM_Poly2,0.10705187219786687,0.056571815718157156,-0.6641504967535659,0.9485509332781236,0.21131020797233163,0.21002760943439508,0.402285885896868,0.38036040019612455,0.4242113715976114,0.001953125,QSVM-favorable
NSL-KDD,5000,SVM_RBF,0.6057526948858323,0.4382791327913279,-0.19635048743449565,0.8431886812730782,-0.2415783532665904,0.3871092254288643,-0.09641493679109739,-0.1509218807532298,-0.04190799282896498,0.013671875,classical-favorable
NSL-KDD,5000,RandomForest,0.3409328862458293,0.20582655826558258,-0.2351730868860243,0.3536298681647857,-0.2615332424940894,1.5419706800370245,0.1684048718489056,0.1387674118939663,0.1980423318038449,0.001953125,QSVM-favorable
NSL-KDD,5000,XGBoost,0.3493140113515147,0.21185636856368556,-0.2631561830922517,0.39809917460289107,-0.22659899912982318,1.4503839084939387,0.16002374674322012,0.13183493496213314,0.1882125585243071,0.001953125,QSVM-favorable
NSL-KDD,10000,QSVM_ZZ,0.5068540274753359,0.3400067750677506,-0.5049522345752036,1.2780955407874734,,,,,,,
NSL-KDD,10000,QSVM_Z,0.421195150550305,0.26863143631436304,-0.4855287618453592,0.8771901730538978,-0.017025542960457496,0.5621606540020212,0.0856588769250308,0.03201271824788022,0.13930503560218138,0.00390625,QSVM-favorable
NSL-KDD,10000,SVM_Linear,0.0886397105983455,0.04637533875338749,-0.9779219887998758,1.0231263888682764,0.4406455388902872,0.3861261893576098,0.4182143168769903,0.3951851684922926,0.44124346526168795,0.001953125,QSVM-favorable
NSL-KDD,10000,SVM_Poly2,0.10946266507715127,0.05792682926829266,-0.6392795466172675,0.9538124587412584,0.11224868937359352,0.4587372745106282,0.3973913623981845,0.3715813718959191,0.4232013529004499,0.001953125,QSVM-favorable
NSL-KDD,10000,SVM_RBF,0.5846283053142163,0.4169715447154472,-0.3482114188239069,0.8377275698505524,-0.1286789387651462,0.6037238841425868,-0.07777427783888045,-0.14181238063632035,-0.013736175041440576,0.064453125,inconclusive
NSL-KDD,10000,RandomForest,0.3306265662602271,0.19823848238482378,-0.24910346605659978,0.36572326634029695,-0.25154018311900067,1.5209619273080939,0.17622746121510874,0.14303283676573267,0.2094220856644848,0.001953125,QSVM-favorable
NSL-KDD,10000,XGBoost,0.3342100787371517,0.20091463414634142,-0.2777921999534617,0.41243892606438665,-0.22273653633783153,1.44513881715496,0.17264394873818417,0.14259384414911344,0.2026940533272549,0.001953125,QSVM-favorable
