featset,model,n_train,run_id,run_seed,f1_macro,params,secs
all122,XGBoost,100,1,100,0.7619533608736746,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",4.5
all122,RandomForest,100,1,100,0.7859974412003803,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",12.0
k20,XGBoost,100,1,100,0.7848865320122984,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",5.3
k20,RandomForest,100,1,100,0.7563505553009631,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.3
all122,XGBoost,200,1,100,0.7773306479525515,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",5.3
all122,RandomForest,200,1,100,0.7962146216229338,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.5
k20,XGBoost,200,1,100,0.7756161877249386,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",5.6
k20,RandomForest,200,1,100,0.7723914431212301,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",12.7
all122,XGBoost,500,1,100,0.8060606850902133,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8}",6.5
all122,RandomForest,500,1,100,0.7885199050727517,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_leaf"": 1}",12.9
k20,XGBoost,500,1,100,0.8089623614159169,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",6.5
k20,RandomForest,500,1,100,0.7941345952716377,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_leaf"": 1}",12.8
all122,XGBoost,1000,1,100,0.8261576480996584,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",8.3
all122,RandomForest,1000,1,100,0.7802131122507772,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2}",17.3
k20,XGBoost,1000,1,100,0.7830464522929206,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 1.0}",8.0
k20,RandomForest,1000,1,100,0.7562781601583601,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2}",17.0
all122,XGBoost,2000,1,100,0.7849061650962444,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8}",9.3
all122,RandomForest,2000,1,100,0.7663953249827953,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",17.8
k20,XGBoost,2000,1,100,0.8004772339731514,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",8.8
k20,RandomForest,2000,1,100,0.7610944475393333,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",18.1
all122,XGBoost,5000,1,100,0.774230795547401,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",12.2
all122,RandomForest,5000,1,100,0.7665651321354205,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",20.4
k20,XGBoost,5000,1,100,0.7626993500837584,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",9.6
k20,RandomForest,5000,1,100,0.7434639981382334,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",20.7
all122,XGBoost,10000,1,100,0.7839617664193633,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",15.8
all122,RandomForest,10000,1,100,0.7575905872312112,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",25.3
k20,XGBoost,10000,1,100,0.7668404480670575,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",10.6
k20,RandomForest,10000,1,100,0.7528452923138256,"{""n_estimators"": 500, ""max_depth"": 20, ""min_samples_leaf"": 1}",25.5
all122,XGBoost,100,2,101,0.7726863880078223,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",4.3
all122,RandomForest,100,2,101,0.7944921349584061,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",12.3
k20,XGBoost,100,2,101,0.7864316700207652,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",4.4
k20,RandomForest,100,2,101,0.8080387501758794,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.2
all122,XGBoost,200,2,101,0.8041952951088167,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8}",5.1
all122,RandomForest,200,2,101,0.8094342387721211,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.5
k20,XGBoost,200,2,101,0.768142343395229,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",6.1
k20,RandomForest,200,2,101,0.7837126682650319,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.5
