baseline,n_train,k,delta,lo,hi,p
XGBoost,100,10,-0.0812,-0.1232,-0.0393,0.002
XGBoost,200,10,-0.0641,-0.0983,-0.03,0.002
XGBoost,500,10,-0.0293,-0.0535,-0.0052,0.014
XGBoost,1000,10,-0.0289,-0.0405,-0.0174,0.004
XGBoost,2000,10,-0.0129,-0.0296,0.0038,0.131
XGBoost,5000,10,0.01,0.0041,0.0158,0.014
XGBoost,10000,10,0.0149,0.005,0.0249,0.004
all122:XGBoost,100,10,-0.0827,-0.1329,-0.0325,0.002
all122:XGBoost,200,10,-0.0645,-0.1036,-0.0254,0.002
all122:XGBoost,500,10,-0.0479,-0.0708,-0.0251,0.002
all122:XGBoost,1000,10,-0.0331,-0.0487,-0.0175,0.004
all122:XGBoost,2000,10,-0.0121,-0.0371,0.0129,0.105
all122:XGBoost,5000,10,0.0014,-0.0064,0.0091,0.77
all122:XGBoost,10000,10,0.0021,-0.0052,0.0094,0.432
k20:XGBoost,100,10,-0.0712,-0.1204,-0.022,0.002
k20:XGBoost,200,10,-0.0419,-0.0754,-0.0083,0.02
k20:XGBoost,500,10,0.0004,-0.0242,0.025,1.0
k20:XGBoost,1000,10,0.0031,-0.0183,0.0244,0.846
k20:XGBoost,2000,10,0.0119,-0.0144,0.0381,0.432
k20:XGBoost,5000,10,0.0223,0.0116,0.0331,0.002
k20:XGBoost,10000,10,0.0195,0.0085,0.0304,0.002
RandomForest,100,10,-0.0705,-0.1124,-0.0287,0.002
RandomForest,200,10,-0.0627,-0.0983,-0.0271,0.002
RandomForest,500,10,-0.0293,-0.052,-0.0065,0.02
RandomForest,1000,10,-0.0196,-0.035,-0.0043,0.027
RandomForest,2000,10,-0.0059,-0.0254,0.0137,0.275
RandomForest,5000,10,0.0082,0.0004,0.016,0.064
RandomForest,10000,10,0.0127,0.0047,0.0208,0.006
all122:RandomForest,100,10,-0.0744,-0.1261,-0.0227,0.006
all122:RandomForest,200,10,-0.0541,-0.0897,-0.0186,0.01
all122:RandomForest,500,10,-0.0264,-0.0501,-0.0027,0.014
all122:RandomForest,1000,10,-0.0143,-0.034,0.0053,0.193
all122:RandomForest,2000,10,-0.0051,-0.0293,0.0192,0.557
all122:RandomForest,5000,10,0.0112,0.0052,0.0171,0.01
all122:RandomForest,10000,10,0.0187,0.0086,0.0289,0.002
k20:RandomForest,100,10,-0.0618,-0.1126,-0.011,0.002
k20:RandomForest,200,10,-0.0349,-0.074,0.0042,0.084
k20:RandomForest,500,10,-0.0038,-0.0274,0.0198,0.846
k20:RandomForest,1000,10,-0.0013,-0.0196,0.017,0.695
k20:RandomForest,2000,10,0.0189,-0.0052,0.0429,0.084
k20:RandomForest,5000,10,0.0358,0.0282,0.0434,0.002
k20:RandomForest,10000,10,0.042,0.028,0.0561,0.002
