dataset,n_train,comparison,baseline,baseline_family,metric,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,verdict_uncorrected,verdict,n_runs,holm_p
NSL-KDD-K80n8,100,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.17053577913811274,-0.1522056954710833,-0.21060596276788576,-0.13046559550833972,0.001953125,0.001953125,-3.044506819551803,0.0,classical-favorable,classical-favorable,10,0.001953125
NSL-KDD-K80n8,100,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,-0.20358149914170792,-0.1855131482509228,-0.2606506091573365,-0.14651238912607933,0.001953125,0.001953125,-2.551878438247932,0.0,classical-favorable,classical-favorable,10,0.005859375
NSL-KDD-K80n8,100,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,-0.15355909227433698,-0.14048549779958996,-0.20593241976599103,-0.10118576478268293,0.001953125,0.001953125,-2.097433224011565,0.0,classical-favorable,classical-favorable,10,0.005859375
NSL-KDD-K80n8,100,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.1874619503772561,-0.15453688515223962,-0.24956792069822317,-0.12535598005628903,0.001953125,0.001953125,-2.1592481385614404,0.0,classical-favorable,classical-favorable,10,0.005859375
NSL-KDD-K80n8,100,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.19969960938763207,-0.16465074283444997,-0.26257607118828663,-0.1368231475869775,0.001953125,0.001953125,-2.2720186633275152,0.0,classical-favorable,classical-favorable,10,0.00390625
NSL-KDD-K80n8,100,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.20792005548498665,-0.17011855699875222,-0.2658931309300553,-0.149946980039918,0.001953125,0.001953125,-2.5656228592171564,0.0,classical-favorable,classical-favorable,10,0.00390625
NSL-KDD-K80n8,200,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.12928369150353483,-0.1347401356923763,-0.1619069856717792,-0.09666039733529048,0.001953125,0.001953125,-2.8349062810603254,0.0,classical-favorable,classical-favorable,10,0.001953125
NSL-KDD-K80n8,200,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,-0.11769575260893195,-0.11384590749097023,-0.14153866290423273,-0.09385284231363115,0.001953125,0.001953125,-3.5312161304741503,0.0,classical-favorable,classical-favorable,10,0.005859375
NSL-KDD-K80n8,200,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,-0.09260322582704282,-0.10476409840325163,-0.12206672628686101,-0.06313972536722463,0.00390625,0.00390625,-2.2483532532354396,0.1,classical-favorable,classical-favorable,10,0.005859375
NSL-KDD-K80n8,200,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.11776206402387468,-0.11953680305546521,-0.14361704813487644,-0.09190707991287292,0.001953125,0.001953125,-3.2582462785189583,0.0,classical-favorable,classical-favorable,10,0.005859375
NSL-KDD-K80n8,200,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.12252040670476974,-0.12907669596787813,-0.1483028242497218,-0.09673798915981768,0.001953125,0.001953125,-3.399441456790452,0.0,classical-favorable,classical-favorable,10,0.00390625
