run_id,model,calibrator,category,mean_prob
1,QSVM,platt,Normal,0.10267567195700897
1,QSVM,platt,DoS,0.7890145890425454
1,QSVM,platt,Probe,0.6852142074565615
1,QSVM,platt,R2L,0.5159014100166197
1,QSVM,platt,U2R,0.5145561880994144
1,QSVM,isotonic,Normal,0.09913563245087366
1,QSVM,isotonic,DoS,0.7842313630375369
1,QSVM,isotonic,Probe,0.669251723627398
1,QSVM,isotonic,R2L,0.4896571834978481
1,QSVM,isotonic,U2R,0.48777272860543924
1,QSVM,temperature,Normal,0.11913090695292779
1,QSVM,temperature,DoS,0.8063739536411532
1,QSVM,temperature,Probe,0.713127757726445
1,QSVM,temperature,R2L,0.559470597858766
1,QSVM,temperature,U2R,0.552118152715559
1,SVM-RBF,platt,Normal,0.1642368924797451
1,SVM-RBF,platt,DoS,0.8153610749489892
1,SVM-RBF,platt,Probe,0.8483804372187222
1,SVM-RBF,platt,R2L,0.6094973474535119
1,SVM-RBF,platt,U2R,0.3192962531912209
1,SVM-RBF,isotonic,Normal,0.14996538560160455
1,SVM-RBF,isotonic,DoS,0.8273954764999214
1,SVM-RBF,isotonic,Probe,0.8381293537241145
1,SVM-RBF,isotonic,R2L,0.574462665326556
1,SVM-RBF,isotonic,U2R,0.36617503535471085
1,SVM-RBF,temperature,Normal,0.2071896386981214
1,SVM-RBF,temperature,DoS,0.838388130297711
1,SVM-RBF,temperature,Probe,0.8879031204900767
1,SVM-RBF,temperature,R2L,0.711234720219001
1,SVM-RBF,temperature,U2R,0.4256728662738791
1,RandomForest,platt,Normal,0.0638379602617059
1,RandomForest,platt,DoS,0.8063646333879825
1,RandomForest,platt,Probe,0.8863970666231908
1,RandomForest,platt,R2L,0.4323007727117827
1,RandomForest,platt,U2R,0.31275662395508025
1,RandomForest,isotonic,Normal,0.0731669730370392
1,RandomForest,isotonic,DoS,0.8113837848140858
1,RandomForest,isotonic,Probe,0.8938098058867994
1,RandomForest,isotonic,R2L,0.43304128625233157
1,RandomForest,isotonic,U2R,0.31054186659361105
1,RandomForest,temperature,Normal,0.07945132296306945
1,RandomForest,temperature,DoS,0.8161556635685948
1,RandomForest,temperature,Probe,0.8991214682740393
1,RandomForest,temperature,R2L,0.48602939381985844
1,RandomForest,temperature,U2R,0.3208175977102283
1,MLP,platt,Normal,0.13084687083052238
1,MLP,platt,DoS,0.8133264868246702
1,MLP,platt,Probe,0.9062131368858745
1,MLP,platt,R2L,0.5162286936479863
1,MLP,platt,U2R,0.3600472375871402
1,MLP,isotonic,Normal,0.1275176345341577
1,MLP,isotonic,DoS,0.8096410556851176
1,MLP,isotonic,Probe,0.9178319499906312
1,MLP,isotonic,R2L,0.4625592602542517
1,MLP,isotonic,U2R,0.32823895415578347
1,MLP,temperature,Normal,0.12186612494042452
1,MLP,temperature,DoS,0.8059885627543945
1,MLP,temperature,Probe,0.8957787347627445
1,MLP,temperature,R2L,0.4800416707233061
1,MLP,temperature,U2R,0.32912020580950885
1,XGBoost,platt,Normal,0.06682368760911817
1,XGBoost,platt,DoS,0.8165449341489032
1,XGBoost,platt,Probe,0.9034407167082903
1,XGBoost,platt,R2L,0.36392661041385876
1,XGBoost,platt,U2R,0.3153984358133805
1,XGBoost,isotonic,Normal,0.07631995536663994
1,XGBoost,isotonic,DoS,0.8250948977861338
1,XGBoost,isotonic,Probe,0.9084647905256948
1,XGBoost,isotonic,R2L,0.3633389232532097
1,XGBoost,isotonic,U2R,0.3084581592039802
1,XGBoost,temperature,Normal,0.0733269156751498
1,XGBoost,temperature,DoS,0.8211112501642998
1,XGBoost,temperature,Probe,0.9069537278977313
1,XGBoost,temperature,R2L,0.38811117575152876
1,XGBoost,temperature,U2R,0.320260675840272
2,QSVM,platt,Normal,0.07434368731196593
2,QSVM,platt,DoS,0.7940140596331564
2,QSVM,platt,Probe,0.7492337116905843
2,QSVM,platt,R2L,0.4500223775153371
2,QSVM,platt,U2R,0.35283451565585694
2,QSVM,isotonic,Normal,0.06844260633162758
2,QSVM,isotonic,DoS,0.7887488328692516
2,QSVM,isotonic,Probe,0.7390042475537998
2,QSVM,isotonic,R2L,0.4368786036611479
2,QSVM,isotonic,U2R,0.3693793375093415
2,QSVM,temperature,Normal,0.06743752425913035
2,QSVM,temperature,DoS,0.7838937897525428
2,QSVM,temperature,Probe,0.7323888245448088
2,QSVM,temperature,R2L,0.4306518186166002
2,QSVM,temperature,U2R,0.3353936375085353
2,SVM-RBF,platt,Normal,0.14202843411861799
2,SVM-RBF,platt,DoS,0.7760807944465203
2,SVM-RBF,platt,Probe,0.7923682535509026
2,SVM-RBF,platt,R2L,0.47506780959016126
2,SVM-RBF,platt,U2R,0.29354098527162914
2,SVM-RBF,isotonic,Normal,0.13493373014946575
2,SVM-RBF,isotonic,DoS,0.7676606966955699
2,SVM-RBF,isotonic,Probe,0.7997882754614696
2,SVM-RBF,isotonic,R2L,0.4766855781842801
2,SVM-RBF,isotonic,U2R,0.3043591045751475
2,SVM-RBF,temperature,Normal,0.14601755435255598
2,SVM-RBF,temperature,DoS,0.7800737967023665
2,SVM-RBF,temperature,Probe,0.7968577263787271
2,SVM-RBF,temperature,R2L,0.48854547035533014
2,SVM-RBF,temperature,U2R,0.3024728705592395
2,RandomForest,platt,Normal,0.08188771322742563
2,RandomForest,platt,DoS,0.7936124717581063
2,RandomForest,platt,Probe,0.8533178805118706
2,RandomForest,platt,R2L,0.33935772327391267
2,RandomForest,platt,U2R,0.196187329476868
2,RandomForest,isotonic,Normal,0.0897707652031073
2,RandomForest,isotonic,DoS,0.803844319248826
2,RandomForest,isotonic,Probe,0.873836247353948
2,RandomForest,isotonic,R2L,0.39319502729099653
2,RandomForest,isotonic,U2R,0.22894867149105902
2,RandomForest,temperature,Normal,0.0909949483104183
2,RandomForest,temperature,DoS,0.8044891021633417
2,RandomForest,temperature,Probe,0.8708853213518146
2,RandomForest,temperature,R2L,0.38920462277864093
2,RandomForest,temperature,U2R,0.22767073304663327
2,MLP,platt,Normal,0.11359639658947476
2,MLP,platt,DoS,0.7986243870592474
2,MLP,platt,Probe,0.8915456666376849
2,MLP,platt,R2L,0.42410546110590236
2,MLP,platt,U2R,0.2712194683512291
2,MLP,isotonic,Normal,0.11375232231409249
2,MLP,isotonic,DoS,0.8018599339219892
2,MLP,isotonic,Probe,0.905288156536017
2,MLP,isotonic,R2L,0.37138036749545744
2,MLP,isotonic,U2R,0.25005509840609497
2,MLP,temperature,Normal,0.11127039512983176
2,MLP,temperature,DoS,0.7966637119618031
2,MLP,temperature,Probe,0.8890756892587532
2,MLP,temperature,R2L,0.4143489200886516
2,MLP,temperature,U2R,0.2631468418203867
2,XGBoost,platt,Normal,0.10637138147746433
2,XGBoost,platt,DoS,0.8388848823797549
2,XGBoost,platt,Probe,0.889237994749291
2,XGBoost,platt,R2L,0.5366023951792156
2,XGBoost,platt,U2R,0.24749900459864507
2,XGBoost,isotonic,Normal,0.10727711633134251
2,XGBoost,isotonic,DoS,0.8393448054559592
