run_id,model,fit_s,predict_s,n_train,n_test
1,QSVM,0.019222900009481236,0.36980210000183433,1000,22544
1,SVM-RBF,0.01352410000981763,0.349229599989485,1000,22544
1,RandomForest,0.44029020000016317,0.0833996000001207,1000,22544
1,MLP,0.7315235999994911,0.009754700004123151,1000,22544
1,XGBoost,0.06124979999731295,0.008111999981338158,1000,22544
2,QSVM,0.020360499998787418,0.31179080001311377,1000,22544
2,SVM-RBF,0.007598899974254891,0.29854750001686625,1000,22544
2,RandomForest,0.3880464999820106,0.0816216999955941,1000,22544
2,MLP,0.7548602000169922,0.009692400024505332,1000,22544
2,XGBoost,0.07136859997990541,0.011086200014688075,1000,22544
3,QSVM,0.01998549999552779,0.3206977999943774,1000,22544
3,SVM-RBF,0.007556500000646338,0.3162450999952853,1000,22544
3,RandomForest,0.3770352000137791,0.08242120000068098,1000,22544
3,MLP,0.7980614999833051,0.009646000020438805,1000,22544
3,XGBoost,0.06293590000132099,0.008305299998028204,1000,22544
4,QSVM,0.01897920001647435,0.31722359999548644,1000,22544
4,SVM-RBF,0.007229100010590628,0.3512380000029225,1000,22544
4,RandomForest,0.37163340000552125,0.07183390000136569,1000,22544
4,MLP,0.8948730000120122,0.010507099999813363,1000,22544
4,XGBoost,0.06836350000230595,0.010379799990914762,1000,22544
5,QSVM,0.02136179999797605,0.3041232000105083,1000,22544
5,SVM-RBF,0.007690900005400181,0.3455878999957349,1000,22544
5,RandomForest,0.3787568999978248,0.07111409999197349,1000,22544
5,MLP,0.6356235999846831,0.009731900005135685,1000,22544
5,XGBoost,0.06134850002126768,0.0076132000249344856,1000,22544
