run_id,model,category,n,label,mean_prob,std_prob
1,QSVM,Normal,9711,0,0.10267567195700894,0.2381185049368395
1,QSVM,DoS,7460,1,0.7890145890425454,0.34956834054710034
1,QSVM,Probe,2421,1,0.6852142074565614,0.3842991870490337
1,QSVM,R2L,2885,1,0.5159014100166195,0.3779191097867998
1,QSVM,U2R,67,1,0.5145561880994144,0.3970004742942357
1,SVM-RBF,Normal,9711,0,0.1642368924797451,0.28241347664281347
1,SVM-RBF,DoS,7460,1,0.8153610749489892,0.33148455580901776
1,SVM-RBF,Probe,2421,1,0.8483804372187222,0.24695139089209617
1,SVM-RBF,R2L,2885,1,0.6094973474535119,0.25864077030796945
1,SVM-RBF,U2R,67,1,0.3192962531912209,0.25075179523598673
1,RandomForest,Normal,9711,0,0.06383796026170745,0.22546759186245022
1,RandomForest,DoS,7460,1,0.8063646333879835,0.3860246672070198
1,RandomForest,Probe,2421,1,0.8863970666231922,0.3055789742051332
1,RandomForest,R2L,2885,1,0.43230077271179007,0.4402301451286709
1,RandomForest,U2R,67,1,0.31275662395508147,0.453202275908297
1,MLP,Normal,9711,0,0.13084687083052238,0.2584145022706795
1,MLP,DoS,7460,1,0.8133264868246702,0.3396297590547148
1,MLP,Probe,2421,1,0.9062131368858745,0.18641320923821458
1,MLP,R2L,2885,1,0.5162286936479863,0.2535022485411023
1,MLP,U2R,67,1,0.3600472375871402,0.25874328412154096
1,XGBoost,Normal,9711,0,0.06682368760911817,0.22199307542337307
1,XGBoost,DoS,7460,1,0.8165449341489032,0.3731922836584073
1,XGBoost,Probe,2421,1,0.9034407167082903,0.2804617312138149
1,XGBoost,R2L,2885,1,0.36392661041385876,0.42500989856142163
1,XGBoost,U2R,67,1,0.3153984358133805,0.45351117693632637
2,QSVM,Normal,9711,0,0.07434368731196593,0.17622023893999486
2,QSVM,DoS,7460,1,0.7940140596331565,0.3468049022717016
2,QSVM,Probe,2421,1,0.7492337116905843,0.33540384167087806
2,QSVM,R2L,2885,1,0.450022377515337,0.4000933451267941
2,QSVM,U2R,67,1,0.3528345156558568,0.37902491764918317
2,SVM-RBF,Normal,9711,0,0.14202843411861799,0.24655133339713362
2,SVM-RBF,DoS,7460,1,0.7760807944465203,0.35082013621185054
2,SVM-RBF,Probe,2421,1,0.7923682535509026,0.32825692431889725
2,SVM-RBF,R2L,2885,1,0.47506780959016126,0.27380544208076313
2,SVM-RBF,U2R,67,1,0.29354098527162914,0.2874866572417704
2,RandomForest,Normal,9711,0,0.08188771322742563,0.2535742602798082
2,RandomForest,DoS,7460,1,0.7936124717581063,0.38782796738985703
2,RandomForest,Probe,2421,1,0.8533178805118706,0.32836168564974955
2,RandomForest,R2L,2885,1,0.33935772327391267,0.4139048428668735
2,RandomForest,U2R,67,1,0.196187329476868,0.35195775074340313
2,MLP,Normal,9711,0,0.11359639658947476,0.24766224592387556
2,MLP,DoS,7460,1,0.7986243870592474,0.356545664024671
2,MLP,Probe,2421,1,0.8915456666376849,0.23207559880128215
2,MLP,R2L,2885,1,0.42410546110590236,0.28062976798203143
2,MLP,U2R,67,1,0.2712194683512291,0.2487156059442017
2,XGBoost,Normal,9711,0,0.10637138147746433,0.29411745435188685
2,XGBoost,DoS,7460,1,0.8388848823797549,0.36183925798626443
2,XGBoost,Probe,2421,1,0.889237994749291,0.30005211291704903
2,XGBoost,R2L,2885,1,0.5366023951792156,0.4447863764792377
2,XGBoost,U2R,67,1,0.24749900459864507,0.3944950643808107
3,QSVM,Normal,9711,0,0.08402158669322288,0.17475728099894716
3,QSVM,DoS,7460,1,0.7694947011315596,0.34533051275109994
3,QSVM,Probe,2421,1,0.6945753411170056,0.3802213971984041
3,QSVM,R2L,2885,1,0.5043470435203243,0.3918373980928887
3,QSVM,U2R,67,1,0.5513372420450838,0.32797165067588635
3,SVM-RBF,Normal,9711,0,0.12697130063866038,0.19256530730513416
3,SVM-RBF,DoS,7460,1,0.7174269872167391,0.3766570303653289
