contribution,regime,condition,metric,baseline,estimate,ci_low,ci_high,p_value,effect_size,verdict,source
C2,stationary,"N=1000, test 300",ZZ_minus_Z_F1,QSVM_Z,0.0113600242333641,-0.0054082667196601,0.0281283151863884,0.232421875,0.4846332765991421,inconclusive,c2_paired_statistics.csv
C2,stationary,"N=1000, test 300",ZZ_minus_Z_KTA,QSVM_Z,0.1378072101942575,0.1267383994457033,0.1488760209428117,0.001953125,8.906226851906897,QSVM-favorable,c2_paired_statistics.csv
C3,temporal,KDDTest21_vs_KDDTestPlus,degradation_reduction,QSVM_Z,-0.0219138551610783,-0.0359666660450644,-0.0078610442770922,0.013671875,-1.1155225638288109,classical-favorable,c3_pairwise_statistics.csv
C3,temporal,KDDTest21_vs_KDDTestPlus,degradation_reduction,SVM_Linear,-0.0326610671714568,-0.0556621049528453,-0.0096600293900684,0.02734375,-1.015794164598793,classical-favorable,c3_pairwise_statistics.csv
C3,temporal,KDDTest21_vs_KDDTestPlus,degradation_reduction,SVM_Poly2,-0.0484484151626845,-0.0724858462757337,-0.0244109840496352,0.01171875,-1.4418307933080985,classical-favorable,c3_pairwise_statistics.csv
C3,temporal,KDDTest21_vs_KDDTestPlus,degradation_reduction,SVM_RBF,0.0006239437797689,-0.0207195037454769,0.0219673913050148,0.845703125,0.0209123896820431,inconclusive,c3_pairwise_statistics.csv
C3,temporal,KDDTest21_vs_KDDTestPlus,degradation_reduction,RandomForest,-0.0048483868828768,-0.0262775890033435,0.0165808152375898,0.76953125,-0.1618504982160166,inconclusive,c3_pairwise_statistics.csv
C3,temporal,KDDTest21_vs_KDDTestPlus,degradation_reduction,XGBoost,-0.0132722859807378,-0.0383322388736518,0.0117876669121761,0.46484375,-0.3788682873884288,inconclusive,c3_pairwise_statistics.csv
C3,perturbation,all_sigma_slope,slope_advantage,QSVM_Z,-0.8421327894147851,-1.0028462060941434,-0.6814193727354267,0.001953125,-3.74844564389418,classical-favorable,c3_pairwise_statistics.csv
C3,perturbation,all_sigma_slope,slope_advantage,SVM_Linear,-1.108240494679753,-1.273949600448012,-0.942531388911494,0.005859375,-4.784211994202624,classical-favorable,c3_pairwise_statistics.csv
C3,perturbation,all_sigma_slope,slope_advantage,SVM_Poly2,-1.0675242760836614,-1.2400566268669584,-0.8949919253003643,0.005859375,-4.426189405868692,classical-favorable,c3_pairwise_statistics.csv
C3,perturbation,all_sigma_slope,slope_advantage,SVM_RBF,-0.9966209770934727,-1.155870093615993,-0.8373718605709529,0.005859375,-4.476883226638458,classical-favorable,c3_pairwise_statistics.csv
C3,perturbation,all_sigma_slope,slope_advantage,RandomForest,-0.863766977222974,-1.0017520077296262,-0.7257819467163218,0.00390625,-4.47803410306409,classical-favorable,c3_pairwise_statistics.csv
C3,perturbation,all_sigma_slope,slope_advantage,XGBoost,-0.6932606521489004,-0.8662201906256128,-0.520301113672188,0.00390625,-2.8673110458806463,classical-favorable,c3_pairwise_statistics.csv
C3,prior_shift,attack_30pct,f1_advantage,QSVM_Z,0.014807709512769,-0.0001822315958118,0.0297976506213499,0.083984375,0.7066603654476508,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_30pct,f1_advantage,SVM_Linear,0.0303087430942798,0.0119687351633137,0.048648751025246,0.029296875,1.182200616593592,QSVM-favorable,c3_pairwise_statistics.csv
C3,prior_shift,attack_30pct,f1_advantage,SVM_Poly2,0.0115669162140753,-0.0041727015230857,0.0273065339512364,0.2109375,0.5257099335513928,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_30pct,f1_advantage,SVM_RBF,0.0146842925280308,-0.0040082748810727,0.0333768599371345,0.2109375,0.5619618664241907,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_30pct,f1_advantage,RandomForest,-0.0090092662847791,-0.0242964776461341,0.0062779450765757,0.3203125,-0.421583812924627,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_30pct,f1_advantage,XGBoost,-0.0128206068755497,-0.0315862784829148,0.0059450647318153,0.3203125,-0.4887280273937315,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_50pct,f1_advantage,QSVM_Z,0.0237296623875903,0.0078563435335232,0.0396029812416575,0.013671875,1.0694157927398449,QSVM-favorable,c3_pairwise_statistics.csv
C3,prior_shift,attack_50pct,f1_advantage,SVM_Linear,0.0221925318625374,0.0041267161689008,0.0402583475561739,0.111328125,0.8787635830262781,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_50pct,f1_advantage,SVM_Poly2,0.0232341439964616,0.0023159423092067,0.0441523456837165,0.111328125,0.7945570853121208,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_50pct,f1_advantage,SVM_RBF,0.00682507437854,-0.0120064577821261,0.0256566065392062,0.322265625,0.2592653666689203,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_50pct,f1_advantage,RandomForest,-0.0137248277956472,-0.0272385625097928,-0.0002110930815016,0.09765625,-0.7265312332082232,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_50pct,f1_advantage,XGBoost,-0.0152862245979014,-0.0309964148887565,0.0004239656929537,0.10546875,-0.6960518065120397,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_70pct,f1_advantage,QSVM_Z,0.0367359619591553,0.0169606646387623,0.0565112592795483,0.005859375,1.3288965348959176,QSVM-favorable,c3_pairwise_statistics.csv
C3,prior_shift,attack_70pct,f1_advantage,SVM_Linear,0.023070564496824,0.0007802692975565,0.0453608596960914,0.12890625,0.7403978947032903,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_70pct,f1_advantage,SVM_Poly2,0.0290554102392707,0.0031958365965657,0.0549149838819756,0.111328125,0.8037637688141124,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_70pct,f1_advantage,SVM_RBF,0.0032670983476713,-0.0204016762125996,0.0269358729079422,0.4921875,0.0987436573701094,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_70pct,f1_advantage,RandomForest,-0.0160971110260153,-0.0376789268919013,0.0054847048398707,0.16015625,-0.5335593450745223,inconclusive,c3_pairwise_statistics.csv
C3,prior_shift,attack_70pct,f1_advantage,XGBoost,-0.0241772235788527,-0.0429641861873838,-0.0053902609703216,0.0390625,-0.9206035171913688,classical-favorable,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,QSVM_Z,0.0534429295550644,0.0346013233862506,0.0722845357238782,0.001953125,2.029061025420559,QSVM-favorable,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,SVM_Linear,0.0650042469566858,0.0496244494334807,0.0803840444798908,0.005859375,3.023527254430736,QSVM-favorable,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,SVM_Poly2,0.0489381598436766,0.0310808498189448,0.0667954698684085,0.005859375,1.9604436817219344,QSVM-favorable,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,SVM_RBF,0.0380886610991855,0.0206705753297993,0.0555067468685716,0.005859375,1.5642928343504223,QSVM-favorable,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,RandomForest,0.0014433514959512,-0.0155786541273203,0.0184653571192228,1.0,0.0606574503174718,inconclusive,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,XGBoost,0.0006384479446312,-0.0151449780317272,0.0164218739209897,1.0,0.0289365659261891,inconclusive,c3_pairwise_statistics.csv
C4,sample_complexity_natural,N=100,f1_macro,QSVM_Z,-0.0623536817057526,-0.0992949984643105,-0.0254123649471948,0.005859375,-1.2074593093808337,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=100,f1_macro,SVM_Linear,-0.0271797371460748,-0.1077047837649715,0.0533453094728217,0.48046875,-0.2414554661723024,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=100,f1_macro,SVM_Poly2,0.0099648232195516,-0.0574052934473821,0.0773349398864853,0.556640625,0.1058096001543932,inconclusive,c4_pairwise_statistics_natural.csv
