dataset,n_train,model,f1_rare,recall_rare,margin_signed_mean,margin_abs_mean,d_signed_vs_ZZ,d_absmargin_vs_ZZ,delta_f1_rare,ci_low,ci_high,wilcoxon_p,verdict
UNSW-NB15,100,QSVM_ZZ,0.9658855165114046,0.9350178359096313,0.8017684784630085,0.8510650870774951,,,,,,,
UNSW-NB15,100,QSVM_Z,0.9711402349986014,0.9451248513674197,0.9067792633875758,0.9760159195982681,-0.2828855434099545,-0.4800281510464385,-0.005254718487196608,-0.02540794066475081,0.014898503690357594,0.42578125,inconclusive
UNSW-NB15,100,SVM_Linear,0.9725704372588438,0.9481569560047562,1.2604382949658992,1.3357508603342185,-0.80241543271195,-1.0788385334324704,-0.006684920747439138,-0.03307013087696984,0.019700289382091563,0.322265625,inconclusive
UNSW-NB15,100,SVM_Poly2,0.9847343102507574,0.9712247324613557,1.0122035121433834,1.0543773258205467,-0.635327092873496,-0.8405800370752136,-0.01884879373935261,-0.04516460241087231,0.0074670149321670876,0.1640625,inconclusive
UNSW-NB15,100,SVM_RBF,0.9716002635313679,0.9463733650416172,0.9118098033246435,0.9757694245078458,-0.3250509982635087,-0.5159163705658715,-0.005714747019963074,-0.03209541019693417,0.020665916157008024,0.4921875,inconclusive
UNSW-NB15,100,RandomForest,0.9500564501671693,0.9058263971462545,0.3563637196810122,0.38825508163013134,1.6244111681469078,2.3916082267175147,0.015829066344235386,0.0019286937793767823,0.02972943890909399,0.01953125,QSVM-favorable
UNSW-NB15,100,XGBoost,0.9426339873708898,0.8941736028537456,0.3620936135651807,0.4062572778086316,1.5888005137918007,2.408121508808517,0.023251529140515002,-4.696324453976747e-05,0.04655002152556977,0.048828125,inconclusive
UNSW-NB15,500,QSVM_ZZ,0.9747414732292672,0.950832342449465,0.9277774068248028,0.9806844830316919,,,,,,,
UNSW-NB15,500,QSVM_Z,0.9792304929804775,0.9597502972651604,0.9925780922217566,1.037114121968176,-0.17550729540886265,-0.21504726018164613,-0.00448901975121041,-0.01718772526281425,0.008209685760393432,0.275390625,inconclusive
UNSW-NB15,500,SVM_Linear,0.9743442942200378,0.9516646848989299,1.0032760982818574,1.0642935104065523,-0.2159605709218356,-0.32388293638072074,0.00039717900922923153,-0.026795665739110505,0.02759002375756897,0.431640625,inconclusive
UNSW-NB15,500,SVM_Poly2,0.9777652916266826,0.9567181926278241,0.9593785891786984,0.9992008347739608,-0.09485281929137498,-0.07674741803940308,-0.0030238183974152675,-0.012991085452500443,0.006943448657669907,0.625,inconclusive
UNSW-NB15,500,SVM_RBF,0.9621806675183157,0.9281807372175981,0.9323602840144602,0.9988716739963298,-0.027190548484045042,-0.08519430754151222,0.01256080571095144,-0.008885912535569326,0.034007523957472204,0.322265625,inconclusive
UNSW-NB15,500,RandomForest,0.9614232869442259,0.9260404280618312,0.38170911805258845,0.40420328523251986,1.75941889790665,2.8773070598478308,0.0133181862850413,0.00411095718354448,0.02252541538653812,0.00390625,QSVM-favorable
UNSW-NB15,500,XGBoost,0.969181546251433,0.9403686087990488,0.3941281893041414,0.4188944390338184,1.7324946951698852,2.9027386792104446,0.005559926977834051,-0.0033678193105371214,0.014487673266205224,0.083984375,inconclusive
