seed,eps,n_star,feasible,ktas
42,0.02,6,[6],"{""4"": 0.1478, ""5"": 0.1689, ""6"": 0.1986, ""7"": 0.1625, ""8"": 0.1874, ""9"": 0.1808, ""10"": 0.1771}"
42,0.05,6,[6],
42,0.1,6,"[6, 8, 9]",
43,0.02,6,[6],"{""4"": 0.1631, ""5"": 0.1823, ""6"": 0.2113, ""7"": 0.1762, ""8"": 0.2034, ""9"": 0.1954, ""10"": 0.1905}"
43,0.05,6,"[6, 8]",
43,0.1,6,"[6, 8, 9, 10]",
44,0.02,6,[6],"{""4"": 0.1439, ""5"": 0.1653, ""6"": 0.1903, ""7"": 0.1534, ""8"": 0.1798, ""9"": 0.1732, ""10"": 0.17}"
44,0.05,6,[6],
44,0.1,6,"[6, 8, 9]",
45,0.02,6,[6],"{""4"": 0.1659, ""5"": 0.1871, ""6"": 0.2173, ""7"": 0.1901, ""8"": 0.207, ""9"": 0.1989, ""10"": 0.1956}"
45,0.05,6,"[6, 8]",
45,0.1,6,"[6, 8, 9, 10]",
46,0.02,6,[6],"{""4"": 0.1697, ""5"": 0.1927, ""6"": 0.2182, ""7"": 0.1842, ""8"": 0.2017, ""9"": 0.1922, ""10"": 0.189}"
46,0.05,6,[6],
46,0.1,6,"[6, 8]",
47,0.02,6,[6],"{""4"": 0.1896, ""5"": 0.1994, ""6"": 0.2174, ""7"": 0.1888, ""8"": 0.2048, ""9"": 0.1959, ""10"": 0.1927}"
47,0.05,6,[6],
47,0.1,5,"[5, 6, 8, 9]",
48,0.02,6,[6],"{""4"": 0.1629, ""5"": 0.1839, ""6"": 0.2027, ""7"": 0.1738, ""8"": 0.1907, ""9"": 0.1833, ""10"": 0.1801}"
48,0.05,6,[6],
48,0.1,5,"[5, 6, 8, 9]",
49,0.02,6,"[6, 8]","{""4"": 0.1544, ""5"": 0.1763, ""6"": 0.2079, ""7"": 0.1781, ""8"": 0.2046, ""9"": 0.1976, ""10"": 0.1939}"
49,0.05,6,"[6, 8, 9]",
49,0.1,6,"[6, 8, 9, 10]",
50,0.02,6,[6],"{""4"": 0.1667, ""5"": 0.1787, ""6"": 0.2076, ""7"": 0.1791, ""8"": 0.2017, ""9"": 0.1934, ""10"": 0.1897}"
50,0.05,6,"[6, 8]",
50,0.1,6,"[6, 8, 9, 10]",
51,0.02,6,[6],"{""4"": 0.178, ""5"": 0.1952, ""6"": 0.2128, ""7"": 0.1792, ""8"": 0.1951, ""9"": 0.187, ""10"": 0.1836}"
51,0.05,6,[6],
51,0.1,5,"[5, 6, 8]",
