run,kernel,C,f1,f1_macro,balanced_accuracy,precision,recall,accuracy,tn,fp,fn,tp,degenerate
1,quantum,0.001,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.0017782794,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.0031622777,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.0056234133,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.01,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.0177827941,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.0316227766,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.0562341325,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.1,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.177827941,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.316227766,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,quantum,0.5623413252,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,quantum,1.0,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,quantum,1.77827941,0.8,0.5,0.5555555555555556,0.6666666666666666,1.0,0.68,4,32,0,64,False
1,quantum,3.1622776602,0.8050314465408805,0.5244669427826354,0.5694444444444444,0.6736842105263158,1.0,0.69,5,31,0,64,False
1,quantum,5.6234132519,0.810126582278481,0.5479204339963833,0.5833333333333334,0.6808510638297872,1.0,0.7,6,30,0,64,False
1,quantum,10.0,0.810126582278481,0.5479204339963833,0.5833333333333334,0.6808510638297872,1.0,0.7,6,30,0,64,False
1,quantum,17.7827941004,0.810126582278481,0.5479204339963833,0.5833333333333334,0.6808510638297872,1.0,0.7,6,30,0,64,False
1,quantum,31.6227766017,0.847682119205298,0.6891471820516286,0.6805555555555556,0.735632183908046,1.0,0.77,13,23,0,64,False
1,quantum,56.234132519,0.8533333333333334,0.7066666666666668,0.6944444444444444,0.7441860465116279,1.0,0.78,14,22,0,64,False
1,quantum,100.0,0.8456375838926175,0.6973285958678774,0.6866319444444444,0.7411764705882353,0.984375,0.77,14,22,1,63,False
1,linear,0.001,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,linear,0.0017782794,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,linear,0.0031622777,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,linear,0.0056234133,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,linear,0.01,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,linear,0.0177827941,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,linear,0.0316227766,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,linear,0.0562341325,0.8152866242038217,0.5704340097763294,0.5972222222222222,0.6881720430107527,1.0,0.71,7,29,0,64,False
1,linear,0.1,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,0.177827941,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,0.316227766,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,0.5623413252,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,1.0,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,1.77827941,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,3.1622776602,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,5.6234132519,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,10.0,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,17.7827941004,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
