kernel,objective,selected_C,cv_mean,cv_std,n_degenerate,n_runs,test_f1,test_f1_macro,test_tn,test_recall,test_precision
quantum,f1_binary,0.5623413252,0.8691622103386809,0.03336239403521396,0,5,0.7977951751633168,0.5627279645217914,8.6,0.955952380952381,0.688365836468719
quantum,f1_macro,10.0,0.674387408568443,0.12580964424183383,0,5,0.8028283780543118,0.6308474471716645,13.4,0.914781746031746,0.7205490438114552
quantum,balanced_accuracy,10.0,0.6761904761904762,0.12173164791584966,0,5,0.8028283780543118,0.6308474471716645,13.4,0.914781746031746,0.7205490438114552
linear,f1_binary,0.0562341325,0.881283422459893,0.034943977011132714,1,5,0.8045150024706077,0.5669451550914827,9.2,0.9625,0.6996815156169994
linear,f1_macro,0.0562341325,0.6215940921823274,0.13469374609194076,1,5,0.8045150024706077,0.5669451550914827,9.2,0.9625,0.6996815156169994
linear,balanced_accuracy,0.0562341325,0.6199999999999999,0.08366600265340754,1,5,0.8045150024706077,0.5669451550914827,9.2,0.9625,0.6996815156169994
poly,f1_binary,17.7827941004,0.8869652406417112,0.042160283756607984,0,5,0.8024647595169505,0.6284812232365862,14.2,0.9086805555555555,0.7337116835032435
poly,f1_macro,17.7827941004,0.6422921441303794,0.1625571326623054,0,5,0.8024647595169505,0.6284812232365862,14.2,0.9086805555555555,0.7337116835032435
poly,balanced_accuracy,17.7827941004,0.6399999999999999,0.1140175425099138,0,5,0.8024647595169505,0.6284812232365862,14.2,0.9086805555555555,0.7337116835032435
rbf,f1_binary,0.316227766,0.881283422459893,0.034943977011132714,1,5,0.7997381606654408,0.5421938287550299,9.0,0.953125,0.7061741153358214
rbf,f1_macro,31.6227766017,0.6317401960784313,0.15619592489888237,0,5,0.8038888115937333,0.6291137798434854,14.4,0.9086805555555555,0.7371551734518176
rbf,balanced_accuracy,31.6227766017,0.6333333333333333,0.11055415967851336,0,5,0.8038888115937333,0.6291137798434854,14.4,0.9086805555555555,0.7371551734518176
